"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Pinnacle Sound";"Soul medecine";"I can do the same (feat. Jolly Joseph)";2022;"BAT RECORDS";1711989245;1711989446;;;
"Suga Roy & The Fireball Crew";"Honoring the kings of reggae";"Suspicious";2016;"FIRE BALL RECORDS";1711989437;1711989615;;"https://www.deezer.com/track/362816981";
"Culture";"Reggae anthology : Natty dread taking over";"Baldhead bridge";2012;"VP MUSIC";1711989613;1711989826;;;"https://open.spotify.com/track/1pxd3UBXnMEur6g4p3nkev"
"Brigadier Jerry";"Rub-a-dub soldiers";"Fight for your rights";2007;"MAKASOUND";1711989819;1711990055;;;
"Broussai";"Broussaï in Dub - Une seule adresse at 129H Studio";"Jour après jour (Dub)";2020;"YOUZ PROD";1711990053;1711990273;;"https://www.deezer.com/track/1111322742";
"Hollie Cook";"Hollie Cook";"Sugar water (look at my face)";2011;"MR BONGO REC";1711990272;1711990500;;;
"Horace Andy";"Two phazed people";"Declaration of rights";2009;"DONT TOUCH";1711990500;1711990761;;;
"Jack Radics";"No matter";"No matter (street mix)";1999;"EMI";1711990751;1711991008;;;
"Kingston All Stars";"Rise up";"Clappers (Dub 2)";2018;"ROOTS & WIRE";1711990997;1711991254;"https://music.apple.com/fr/album/clappers-dub-2/1428878585?i=1428881600&uo=4";"https://www.deezer.com/track/542317692";"https://open.spotify.com/track/2LXzeGOjaQZqvJl7rDKFVT"
"Max Romeo";"Bad, bad, bad";"Tacko";2020;"17 NORTH PARADE";1711991246;1711991414;;"https://www.deezer.com/track/858611092";"https://open.spotify.com/track/3HoyatSPz9rKWZH77gZseR"
"The Articallers";"So many words";"Best me can";2019;"ARTIPROD";1711991408;1711991686;;;
"Phyllis Dillon";"Dillon Phyllis/Love is all i had/A tribute to the queen of jamaican soul";"I can't forget about you baby";2004;"TROJAN";1711991683;1711991867;;;"https://open.spotify.com/track/0AZKm1swsq46IqSHzdBoQA"
"Pinnacle Sound";"This is the way";"Love Jamaica";2020;"BAT RECORDS";1711991864;1711992116;;;"https://open.spotify.com/track/4qfYliZf1o6UySpZnBOOSi"
"Jahno & Ivan Jah";"tales of a wild world";"The goldbush";2020;"BAT RECORDS";1711992115;1711992389;;;
"Eek A Mouse";"Eek-Ology";"Creation";2013;"GREENSLEEVES RECORDS";1711992388;1711992558;;;
"Derrick Harriott Bobby Ellis & The Crystalites";"Do I worry - Shuntin";"Do I worry";;"DUB STORE RECORDS";1711992555;1711992722;;;
"Owen Gray";"Jamaique / Jamaica Rhythm & Blues / 1956-1961";"Running around";1957;"Frémeaux & Associés";1711992717;1711992849;;"https://www.deezer.com/track/131302770";
"Jimmy London";"Trojan presents original reggae/40 original tighten up hits";"A little love";2015;"SANCTUARY";1711992845;1711992994;;"https://www.deezer.com/track/90011193";"https://open.spotify.com/track/5jZExOJoubYUCcNpkSxSp9"
"Edi Fitzroy";"Morgan Heritage family and friends / Vol. 2";"Think dem slick";1999;"HEARTBEAT";1711992990;1711993230;;;
"Bunny Rugs";"We Sing Gregory";"Tune in";2004;"NAIVE RECORDS";1711993219;1711993458;;"https://www.deezer.com/track/535865842";
"Skarra Mucci";"& the one love family";"Can’t stand it (Feat. Hawkeye)";2018;"UNDISPUTED REC";1711993452;1711993676;;;
"Sir Wilson";"Paso firme";"Busca";2018;"MAD91";1711993668;1711993918;;;
"The Mighty Diamonds";"Natural natty reggae";"Passy ready";;"SIMON MUSIC-SIPE";1711993908;1711994062;;;
"Sir Lord Comic & The Destroyers";"Joe Gibb's Scorchers from the Early Years - Disc 2";"Jack of my trade / Franco Nero";2009;"17 NORTH PARADE";1711994054;1711994257;"https://music.apple.com/fr/album/jack-of-my-trade-franco-nero/310539860?i=310540010&uo=4";;
"Marcia Griffiths";"Melody Life";"I shall sing";2007;"VPR RECORDS";1711994257;1711994472;"https://music.apple.com/fr/album/i-shall-sing/309118141?i=309118435&uo=4";"https://www.deezer.com/track/63398601";"https://open.spotify.com/track/4KufJHBh7rLjVrrZIgezOl"
"Sophie Filip";"Lemonade";"Never die";2021;"KLIMANEUTRAL / SUPERLAUT";1711994462;1711994705;;;
"The Maytals";"This is trojan ska";"Let's jump";;"TROJAN RECORDS";1711994700;1711994831;"https://music.apple.com/fr/album/lets-jump/1543689063?i=1543689366&uo=4";;"https://open.spotify.com/track/1R99g9ItNGQxlXyty4N9O9"
"The Kingstonians";"Trojan Suedehead box set";"Lion's den";;"TROJAN RECORDS";1711994828;1711994991;"https://music.apple.com/fr/album/lions-den/1439562615?i=1439562617&uo=4";"https://www.deezer.com/track/131316444";"https://open.spotify.com/track/5saAfLv5TZUJv31tEdJ9gp"
"Chaka Demus";"Chaka Demus & Pliers - Meet Shabba Ranks & Friend";"Shock out";;"RHINO RECORDS";1711994985;1711995192;"https://music.apple.com/fr/album/shock-out/165009899?i=165009939&uo=4";"https://www.deezer.com/track/111114194";"https://open.spotify.com/track/0HjpfTjVpFksDElM4z4hpn"
"Zap Pow";"This is Trojan roots";"Last war (jah jah children arise)";1978;"TROJAN RECORDS";1711995188;1711995472;"https://music.apple.com/fr/album/last-war-jah-jah-children-arise/1377613294?i=1377613454&uo=4";"https://www.deezer.com/track/511181032";
"Betagarri";"Zorion argiak";"Geroa";2012;"ELKAR";1711995466;1711995688;"https://music.apple.com/fr/album/geroa/566838500?i=566838649&uo=4";"https://www.deezer.com/track/81293040";"https://open.spotify.com/track/1FXdDIA8UTPwGC3P6X71dD"
"Lloyd Wiiliams";"Studio One selector";"Reggae feet";;"MOJO";1711995687;1711995839;;;
"Cocoa Tea";"Reggae Mandela";"President Botha";1988;"VP RECORDS";1711995836;1711995982;;;
"Blundetto";"Dub Azucar";"Dub Azucar";2021;"HEAVENLY SWEETNESS";1711995979;1711996224;"https://music.apple.com/fr/album/dub-azucar/1598948770?i=1598948778&uo=4";"https://www.deezer.com/track/1571330262";"https://open.spotify.com/track/5GDcoQYmNc6o7ng1ergzpd"
"Gorillaz";"Meanwhile";"Déjà Vu (feat. Alicai Harley) (Live from NW10)";2021;"PARLOPHONE UK";1711996220;1711996441;;;
"Gentleman'S Dub Club";"Down to earth";"Sunshine revolution";2021;"EASY STAR RECORDS";1711996435;1711996634;"https://music.apple.com/fr/album/sunshine-revolution/1549176250?i=1549176260&uo=4";;"https://open.spotify.com/track/3rXp47nwskM2vq4O5qAbJn"
"Danny T";"Puffer's choice";"Follow me";2016;"SCOTCH BONNET RECORDS";1711996628;1711996874;;;"https://open.spotify.com/track/4y6fshZIExmmo1mkf5oBpe"
"Dave & Ansel Collins";"Trojan Suedehead box set";"Aka I the third";;"TROJAN RECORDS";1711996871;1711997044;;;
"Big Famili";"Dancehall fever";"Vanillochocolat";;"WAGRAM";1711997036;1711997259;;;"https://open.spotify.com/track/4yLqCXGUI9Ol6OE8NhQmeA"
"Ansel Collins";"Jamaican gold/Ansel Collins with Sly & Robbie";"Dance the reggae";2002;"MOLL";1711997249;1711997495;;;
"Amj & Rsd";"Sky blue love / Vol. 1";"Second drop";2016;"AUTO PRDUCTION / L'AUTRE DISTRIBUTION";1711997477;1711997774;;;
"ANTHONY B";"Real revolutionary";"World in trouble (featuring Garnett Silk)";1996;"GREENSLEEVES RECORDS";1711997771;1711997998;;;
"Al Campbell";"Dub landing / Vol. 1";"I need your loving";2018;"GREENSLEEVES / VP";1711997999;1711998209;"https://music.apple.com/fr/album/i-need-your-loving/1369191391?i=1369192238&uo=4";;"https://open.spotify.com/track/3u35aGFbOZerLtmpa4OUzR"
"Keith Hudson";"Playing it cool and playing it right";"By night dub";;"BASIC REPLAY";1711998204;1711998371;;;"https://open.spotify.com/track/61o8aanvXhCveuqowIC4fq"
"Nikko";"Roots de Guyane";"Civilisation";2003;"VIRGIN";1711998370;1711998561;;;
"Suga Roy & The Fireball Crew";"Honoring the kings of reggae";"Do you remember the days";2016;"FIRE BALL RECORDS";1711998554;1711998787;;"https://www.deezer.com/track/362816861";
"Talisman";"Nothing change : the best of Talisman 1977-2018";"Lick and run";2018;"SUGAR SHACK RECORDS";1711998784;1711998977;;;"https://open.spotify.com/track/6W7NE6jo0jAyyYjudp6idO"
"The Abyssinians";"Arise";"Let my days be long";1978;"VIRGIN";1711998967;1711999177;"https://music.apple.com/fr/album/let-my-days-be-long/724567227?i=724567643&uo=4";;"https://open.spotify.com/track/2aj2FwcVRN2Aw2w3IJm2Qx"
