"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Kool & The Gang";"Light Of Worlds";"Summer Madness";1974;"MERCURY";1704058116;1704058371;"https://open.spotify.com/track/2uMqG8w8oi09fB2YA2QLOm";"https://music.apple.com/fr/album/summer-madness/1442668757?i=1442668947&uo=4";"https://www.deezer.com/track/2114240"
"Diana Ross";"One woman";"Love hangover";1976;"EMI";1704058369;1704058592;"https://open.spotify.com/track/4UqPeeSyRt59KZmC0aA2Ni";;
"Barry Manilow";"Best of";"Copacabana";1978;"PATHE MARCONI";1704058587;1704058830;;;
"Billon Pierre";"La bamba triste";"La Bamba triste";2010;"SONY/ STRATEGIC MARKETING";1704058826;1704059038;;;
"Justin Timberlake";"Justified";"Senorita";2002;"JIVE";1704059045;1704059340;"https://open.spotify.com/track/0aj2QKJvz6CePykmlTApiD";"https://music.apple.com/fr/album/se%C3%B1orita/252606580?i=252606581&uo=4";
"Mylene Farmer";"Maman a tort";"Maman a tort (Instrumentale)";1984;"RCA";1704059339;1704059560;;;
"Ms Dynamite";"A little deeper";"Dy-Na-Mi-Tee";2002;"POLYDOR";1704059565;1704059781;;;
"Just Jack";"Writer's block";"Writer'S Block";2006;"MERCURY";1704059779;1704059999;"https://open.spotify.com/track/58ZU9ScAsfI1gk9xyEtMj8";"https://music.apple.com/fr/album/writers-block/1444019879?i=1444019882&uo=4";
"Alliance Ethnik";"Radio rap";"Respect";1995;"VIRGIN";1704059999;1704060264;;;
"The Bar Kays";"Best of";"Son of shaft";1972;"STAX";1704060268;1704060471;;;
"Benny B.";"L'album";"Vous êtes fous !";1990;"ON THE BEAT";1704060467;1704060660;;;
"Kaytranada";"Bubba";"10% (feat. Kali Uchis)";2019;"RCA";1704060657;1704060844;"https://open.spotify.com/track/41SwdQIX8Hy2u6fuEDgvWr";"https://music.apple.com/fr/album/10-feat-kali-uchis/1490035834?i=1490036351&uo=4";
"Pharrell";"Compilation/The neptunes Present... Clones";"Frontin' ( feat. jay-z)";2003;"ARISTA INTERNATIONAL";1704060848;1704061078;;;
"Iam";"Je danse le mia";"Je danse le mia";1994;"DELABEL";1704061077;1704061344;;;"https://www.deezer.com/track/91045659"
"ESG";"A south Bronx story";"Dance";1983;"UNIVERSAL";1704061345;1704061614;"https://open.spotify.com/track/0iD94fatV4gLMmOQhNTQx6";"https://music.apple.com/fr/album/dance/1668437008?i=1668437351&uo=4";
"Sean Paul & Sasha";"Dutty Rock";"I'm still in love with you";2002;"ATLANTIC";1704061613;1704061882;;"https://music.apple.com/fr/album/im-still-in-love-with-you/311295361?i=311295447&uo=4";
"Marcel Zanini";"Marcel Zanini";"Tu veux, tu veux pas";1970;"POLYGRAM";1704061887;1704062047;;;
"La Bionda";"The collection";"I wanna be your lover";1981;"ARIOLA";1704062046;1704062238;;;
"Ram Jam";"70`S the years of popmusic";"Black Betty";1977;"SONY";1704062238;1704062470;"https://open.spotify.com/track/6kooDsorCpWVMGc994XjWN";"https://music.apple.com/fr/album/black-betty/216088276?i=216088341&uo=4";
"Jean Marc Miro";"La voix du vaurien";"Billy le funkyman";2001;"COLUMBIA";1704062468;1704062719;;;
"Tom Tom Club";"Close To The Bone (Deluxe Edition)";"Wordy rappinghood";1981;"ISLAND";1704062722;1704063108;"https://open.spotify.com/track/03xLfJFy99mdr7qhmQNVgB";"https://music.apple.com/fr/album/wordy-rappinghood/1711038105?i=1711038348&uo=4";
"The B-52's";"Play loud";"52 Girls";1979;"ISLAND";1704063107;1704063320;"https://open.spotify.com/track/0hV8cbzJubHKLSFIsBnYUo";"https://music.apple.com/fr/album/52-girls/1440816774?i=1440816787&uo=4";
"The Clash";"The essential clash";"Should I stay or should I go";1982;"COLUMBIA";1704063319;1704063505;;"https://music.apple.com/fr/album/should-i-stay-or-should-i-go-remastered/1297035207?i=1297035218&uo=4";
"Supreme Ntm";"Authentik (Deluxe album)";"Danse (Instrumental) (Version longue)";1991;"SONY";1704063504;1704063589;;;
"Eddy Mitchell";"Tout Eddy...Ou presque / 1976-1979";"Pas de boogie woogie";1976;"RCA";1704063599;1704063814;"https://open.spotify.com/track/4hFPJKIKvgKpGlL3HvYecV";"https://music.apple.com/fr/album/pas-de-boogie-woogie/1442231598?i=1442231795&uo=4";
"Mary Jane Girls";"BOF / Undercover brother";"All night long";1983;"HOLLYWOOD RECORDS";1704063814;1704064157;"https://open.spotify.com/track/62ubbkWAhTOftwgRjHS1UH";"https://music.apple.com/fr/album/all-night-long/1443147650?i=1443147666&uo=4";
