"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Malik Djoudi";"Vivant";"Vivant";"2024";"CINQ 7";1735278789;1735278965;"https://music.apple.com/fr/album/vivant/1744390301?i=1744390307&uo=4";"https://open.spotify.com/track/7s5a9vzYgCvxpARyWtUpLf";"https://www.deezer.com/track/2779552941"
"E.S.T.";"Tuesday wonderland";"Sipping on the solid ground";"2006";"ACT";1735278958;1735279226;;;
"Nat King Cole";"L'histoire du piano jazz / Vol.5";"Early morning blues";"1953";"CHANT DU MON";1735279219;1735279389;;;
"Nino Ferrer";"Nino swingue";"Le blues des rues désertes";"1965";"BARCLAY";1735279389;1735279534;;;"https://www.deezer.com/track/2526371471"
"Sly Dunbar";"Sly go ville";"Inner city blues";"1982";"TABOU 1";1735279531;1735279781;"https://music.apple.com/fr/album/inner-city-blues/1701157091?i=1701157223&uo=4";"https://open.spotify.com/track/6kahhh9MquMeLbVKBxh58K";"https://www.deezer.com/track/11562334"
"Ben Harper";"Brown eyed blues";"Brown eyed blues (radio edit)";"2003";"VIRGIN";1735279779;1735280018;;;
"Greentea Peng";"Man made";"Jimtastic blues";"2021";"ECM";1735280017;1735280229;"https://music.apple.com/fr/album/jimtastic-blues/1561826242?i=1561826739&uo=4";"https://open.spotify.com/track/4z9kiFW5MYJTmtsz1oBGMp";"https://www.deezer.com/track/1386283512"
"BadBadNotGood";"Mid spiral : Chaos";"Your soul and mine";"2024";"XL RECORDINGS";1735280227;1735280484;;;
"Maria Bethania";"Mel";"Labios De Mel";"1979";"";1735280482;1735280649;"https://music.apple.com/fr/album/labios-de-mel/1443351769?i=1443352329&uo=4";"https://open.spotify.com/track/6O0y2cYkPw0Vzki8GKNfZe";
"Sade";"Lovers Rock";"By your side";"2000";"EPIC";1735280645;1735280917;"https://music.apple.com/fr/album/by-your-side/431609122?i=431609143&uo=4";"https://open.spotify.com/track/7H3ojI1BsVy0dEJENqMt1k";"https://www.deezer.com/track/1453752912"
"Eddie Chacon";"Pleasure, joy and happiness";"Pleasure, joy and happiness";"2020";"DAY END RECORDS";1735280914;1735281110;"https://music.apple.com/fr/album/pleasure-joy-and-happiness/1524479250?i=1524479255&uo=4";"https://open.spotify.com/track/349UIN6aNy5Cq5IXkhSzUo";
"Ezra Collective";"Dance, no one’s watching";"No one's watching me (feat. Olivia Dean)";"2024";"PARTISAN RECORDS";1735281108;1735281371;"https://music.apple.com/fr/album/no-ones-watching-me-feat-olivia-dean/1783201685?i=1783202348&uo=4";"https://open.spotify.com/track/70VTTe96UJ9QUyFYbsnW5V";"https://www.deezer.com/track/3125117281"
"Arno";"Opex";"La vérité";"2022";"PIAS LE LABEL";1735281369;1735281527;;"https://open.spotify.com/track/25Xycb6942RXX72ijFhbYj";"https://www.deezer.com/track/1785622247"
"Kings Of Convenience";"Riot on an empty street";"Love is no big truth";"2004";"SOURCE/VIRGI";1735281523;1735281748;;"https://open.spotify.com/track/0vvvulHOC7T30uattuSULI";"https://www.deezer.com/track/2100073527"
"Dolly Parton";"Diamonds & rhinestones";"Coat of many colors";"1971";"SONY";1735281745;1735281928;"https://music.apple.com/fr/album/coat-of-many-colors/283305967?i=283305978&uo=4";"https://open.spotify.com/track/1l2Xmg54EUr3TDzNIaCr1z";
"Bela Fleck";"John Williams the guitarist : The complete Columbia album collection / CD 58 : Collaborations";"Mazurka n°38 en fa dièse min op 59 n°3 - arrangement pour banjo et guitare";"2015";"SONY CLASSICAL";1735281926;1735282143;;;
