"Artist";"Album";"Song";"Label";"start";"end";"Year";"itunes";"deezer";"spotify"
"Soli";"Finders keepers presents Pomegranates / Persian pop funk folk and psych of 60s and 70s";"Negar";"FINDERS KEEPERS RECORDS";1709326518;1709326762;2009;;;
"Beyaz Kelebekler";"Turkish freakout / Psycho-folk singles 1969-1980";"Esmerim";"BOUZOUK";1709326762;1709326956;1976;"https://music.apple.com/fr/album/esmerim/1226966163?i=1226966167&uo=4";"https://www.deezer.com/track/350236341";"https://open.spotify.com/track/4ZaSO58hLAtXO87JxhhdHN"
"Beyonce";"Dangerously in love";"Naughty girl";"COLUMBIA";1709326955;1709327162;2003;"https://music.apple.com/fr/album/naughty-girl/201274359?i=201274830&uo=4";;"https://open.spotify.com/track/0YGQ3hZcRLC5YX7o0hdmHg"
"Donna Summer";"The very best of";"Love to love you baby";;1709327156;1709327358;1975;"https://music.apple.com/fr/album/love-to-love-you-baby/1423290574?i=1423290771&uo=4";"https://www.deezer.com/track/598088272";"https://open.spotify.com/track/6Szw3sQC5Zssr15AJsUY9J"
"Joe Cocker";"BOF / 9 semaines et demi";"You can leave your hat on";"( CAPITOL (ET PM )";1709327351;1709327604;1983;;"https://www.deezer.com/track/3104719";
"Macadam Crocodile";"Walk Faster";"Walk Faster";"ALLO FLORIDE";1709327601;1709327812;2023;"https://music.apple.com/fr/album/walk-faster/1707525405?i=1707525597&uo=4";;"https://open.spotify.com/track/1WGLQma2V7f98w3b7t5lRm"
"Bandit Voyage";"Was ist das";"Was ist das";"ENTREPRISE";1709327807;1709327985;2023;"https://music.apple.com/fr/album/was-ist-das/1686529396?i=1686529403&uo=4";"https://www.deezer.com/track/2264198907";"https://open.spotify.com/track/6IvzQT344n24ips9A6SsLJ"
"Edith Nylon";"Edith nylon";"Femmes sous cellophane";"ANTHOLOGY'S";1709327983;1709328230;1980;;"https://www.deezer.com/track/450617922";
"Skrillex";"Rumble";"Rumble";"OWSLA - ATLANTIC";1709328230;1709328375;2023;;;"https://open.spotify.com/track/74fmYjFwt9CqEFAh8ybeBD"
"Black Barrel & Leo Cap";"I feel good";"Free your mind";"ARTIKAL MUSIC";1709328375;1709328651;2023;;;
"Christian Coiffure";"Lookbook 2021-2023";"Meet Her Stage 2";"COMIC SANS RECORDS";1709328649;1709329009;2023;"https://music.apple.com/fr/album/meet-her-stage-2/1693571304?i=1693571319&uo=4";;"https://open.spotify.com/track/7thK0AXFoimeowRMZ4HHja"
"Helen Davis";"Satisfaction / Yesterday a King";"Satisfaction";"CARRERE";1709329007;1709329255;1977;"https://music.apple.com/fr/album/satisfaction/1652700912?i=1652700913&uo=4";"https://www.deezer.com/track/1841859247";"https://open.spotify.com/track/0kp7S9aWPggj0MWDdeppx0"
"Karen Cheryl";"Liars beware";"Keepin' it up";"IBACH DISQUES";1709329252;1709329473;1979;;;
"Syreeta";"Joey negro & Sean P present : The best of disco spectrum";"Can't shake your love (Larry Levan 12"""" mix)";"BBE";1709329470;1709329804;1981;;;
"Kala";"Ethno-groove";"Merengue";"AUTO PRODUCTION";1709329794;1709329947;2014;;;
"Lidia Maria Hernandez Lopez """"la India Canela""""";"Merengue típico from the Dominican Republic";"El rancho (The ranch)";"SMITHONIAN FOLKWAYS";1709329910;1709330193;2008;;;
"Ian Dury & The Blockheads";"Sex & drugs & rock & roll";"Sex & drugs & rock & roll";;1709330190;1709330360;1977;;;
"Francis Coppieters";"Funky Chimes";"Funky chimes";"SDBAN";1709330359;1709330480;1975;"https://music.apple.com/fr/album/funky-chimes/1180741449?i=1180741752&uo=4";"https://www.deezer.com/track/117249322";"https://open.spotify.com/track/0W7quebekVkIw3qqlutzSJ"
"JD McPherson";"Let the good times roll";"Shy boy";"ROUNDER RECORDS";1709330515;1709330686;2015;"https://music.apple.com/fr/album/shy-boy/1440943137?i=1440943578&uo=4";"https://www.deezer.com/track/94029928";"https://open.spotify.com/track/6Ka3YpoDoYXzvgoAfGACBZ"
"Jan Verstraeten";"Violent disco";"Goodbye World";"UNDAY RECORDS";1709330680;1709330859;2022;"https://music.apple.com/fr/album/goodbye-world/1598927710?i=1598927721&uo=4";;"https://open.spotify.com/track/40lBlTma14ZloISE5Sjf2C"
"Voyou";"D'amour et d'insouciance";"D'amour et d'insouciance (edit radio)";"A+LSO";1709330854;1709331055;2023;;;
"Toytoy";"Tahin";"Tahin";"GOLDEN RULES";1709331052;1709331207;2022;;;"https://open.spotify.com/track/6ojz8N29wLw9CUblt90qKn"
"Adi Oasis";"Lotus glow";"Sérena";"UNITY GROUP";1709331207;1709331425;2023;"https://music.apple.com/fr/album/serena/1660061448?i=1660061464&uo=4";"https://www.deezer.com/track/2071647207";"https://open.spotify.com/track/6ZCfxKANLN7q0YoOHQ90hm"
"Rosalia";"Beso (feat. Rauw Alejandro)";"Beso (feat. Rauw Alejandro)";"COLUMBIA";1709331412;1709331605;2023;;;
"Thes One";"Farewell, my friend.";"The bell tolls for people under the stairs";"PIECELOCK 70";1709331603;1709331766;2023;"https://music.apple.com/fr/album/the-bell-tolls-for-people-under-the-stairs/1660926670?i=1660927296&uo=4";;"https://open.spotify.com/track/142xvYH7HmzSvnyqdmNyOo"
"Flavien Berger";"Les yeux, le reste";"D'ici là";"PAN EUROPEAN RECORDING";1709331760;1709331967;2023;;;"https://open.spotify.com/track/7noQ2x6ozSHcj2apSDBqGJ"
"Rahill";"Flowers at your feet";"Gone astray";"BIG DADA";1709331969;1709332169;2023;;;"https://open.spotify.com/track/2YpQUS2JiEHSVkFdw2EVPi"
"Beck";"Guero";"Scarecrow";"GEFFEN";1709332158;1709332413;2005;;"https://www.deezer.com/track/2300703";"https://open.spotify.com/track/1GcdexGpXcR9dZhhRj5zAr"
"Leon Phal";"Stress killer";"Vibing in ay";"HEAVENLY SWEETNESS";1709332394;1709332636;2023;;"https://www.deezer.com/track/2342875225";"https://open.spotify.com/track/3HIA9qP0VRXwGPu9JGhntM"
"Brooklyn Funk Essentials";"Cool and steady and easy";"Bop hop";"MUSIDISC";1709332637;1709332872;1994;;;"https://open.spotify.com/track/1aczonDe0r3FpFZvMdjLoZ"
"Laurent Bardainne & Prince Waly";"Session Unik : Laurent Bardainne & Prince Waly";"Le maire de la ville";"SESSION UNIK";1709332870;1709333068;2023;;;
"Loving";"Any light";"On my way to you";"LAST GANG RECORDS / MNRK";1709333064;1709333279;2024;"https://music.apple.com/fr/album/on-my-way-to-you/1715079935?i=1715079940&uo=4";"https://www.deezer.com/track/2528195061";"https://open.spotify.com/track/2H3pltg2c88NxngyUThVkV"
"Gary Pacific Orchestra";"Dusty fingers";"Soft wind";"STRICKTLY BREAK RECORDS";1709333276;1709333398;1973;;;
"Joao Donato";"Brazilian beats";"Cala boca menino";"MR BONGO";1709333391;1709333530;1973;"https://music.apple.com/fr/album/cala-boca-menino/1442636237?i=1442636810&uo=4";"https://www.deezer.com/track/424087762";
"Banda Black Rio";"The best of";"Mr funky samba";"UNIVERSAL SO";1709333529;1709333740;1977;"https://music.apple.com/fr/album/mr-funky-samba/77830761?i=77830525&uo=4";"https://www.deezer.com/track/136006818";
"Stevie Wonder";"Talking book";"Superstition";"MOTOWN";1709333740;1709334006;1972;;;"https://open.spotify.com/track/4N0TP4Rmj6QQezWV88ARNJ"
"Weapon Of Choice";"Nutmeg party";"Open Wide";"TER A TERRE";1709334002;1709334231;2005;;;
"Astrolabe Musique & Denzel Macintosh";"Blue points 001";"Monday jam";"LA LIGNE BLEUE RECORDS";1709334140;1709334275;2022;;;
"Cousin Kula";"Staying with you";"Staying with you";"RHYTHM SECTION INTERNATIONAL";1709334268;1709334552;2024;;"https://www.deezer.com/track/2555455372";"https://open.spotify.com/track/3N5NS2jj5SoaCKVESiB6My"
"Cornell Campbell";"I man a stal-a-watt";"Two timer";"VP RECORDS";1709334550;1709334782;1980;;;
"Cecilia";"Vidal Benjamin presents Pop Sympathie";"Si me olvidas";"VERSATILE RECORDS";1709334779;1709334966;1983;;"https://www.deezer.com/track/679577192";
"Pierre Barouh";"Années Disc'Az";"Samba Saravah";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1709334969;1709335240;1966;;;"https://open.spotify.com/track/2g86TduNPjOj3bRcgpQEpL"
"Bud Powell";"The amazing Bud Powell / Volume 1";"Ornithology";"BLUE NOTE";1709335237;1709335378;1949;;;
"Genia Kuhmeier";"Zigeunerlieder / Anton Dvorak : Mélodies et duos";"Mélodies tziganes op 55 B 104 : 1. Ma pisen zas (Mon chant rempli d'amour) - pour soprano et piano";"HARMONIA MUNDI";1709335375;1709335530;2012;;;
"Inger Nordvik";"Hibernation";"It follows";"ASTA RECORDS";1709335526;1709335819;2023;"https://music.apple.com/fr/album/it-follows/1660980818?i=1660982481&uo=4";;"https://open.spotify.com/track/3gHVUcd42Y983o5dEdmgIk"
"Gruff Rhys";"Sadness sets me free";"Peace signs";"ROUGH TRADE RECORDS";1709335825;1709336130;2024;"https://music.apple.com/fr/album/peace-signs/1706554248?i=1706554275&uo=4";;"https://open.spotify.com/track/6BFdbl2HxPx9PsaGm9l16P"
