"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes";"youtube"
"Booker T & The Mg'S";"BOF / Up tight";"Deadwood Dick";"1968";"STAX RECORDS";1714831007;1714831277;;;;
"Blood Sweat & Tears";"Blood, Sweat & Tears";"Spinning wheel";"1968";"CBS";1714831274;1714831519;;;;
"Aaron Frazer";"Introducing";"If I Got It (Your Love Brought It)";"2021";"DEAD OCEANS";1714831515;1714831687;"https://open.spotify.com/track/1jSAARNT7fzLTcPc4IUQQz";"https://www.deezer.com/track/1036732322";"https://music.apple.com/fr/album/if-i-got-it-your-love-brought-it/1525638178?i=1525638183&uo=4";
"Jesca Hoop";"Order of romance";"Sioux falls";"2022";"MEMPHIS INDUSTRIES";1714831684;1714831921;"https://open.spotify.com/track/2qj3UlRhnNXJTXVVmssdKN";;"https://music.apple.com/fr/album/sioux-falls/1624052489?i=1624052840&uo=4";
"Martha Argerich";"Chostakovitch et Haydn : Concertos pour piano";"Concerto en ut min op 35 pour piano trompette et orchestre a cordes : Allegro moderato";"1994";"DEUTSCHE GRAMMOPHON";1714831917;1714832280;;;;
"Tony Bennett";"Duets II";"On The Sunny Side Of The Street - duet with Willie Nelson";"2011";"COLUMBIA/SON";1714832279;1714832453;;;;
"Agathe Catel";"Là-bas";"Là bas";"2023";"AUTOPRODUCTION";1714832452;1714832666;;;;
"BIM (Benin International Musical)";"BIM #1";"Téoun Téoun";"2018";"WORLD TOUR RECORDS";1714832661;1714832880;;;;
"L'Attirail";"Wanted men";"Will bill band";"2011";"LCS 1101";1714832874;1714833027;;;;
"Johnny Cash";"The legend of Johnny Cash";"Personal Jesus";"2002";"EPIC";1714833024;1714833221;"https://open.spotify.com/track/5dcwiQFqn0mTcWewYIv7MV";;"https://music.apple.com/fr/album/personal-jesus/1440811207?i=1440811423&uo=4";
"Meskerem Mees";"Best friend";"Best friend";"2022";"MAYWAY RECORDS";1714833218;1714833401;"https://open.spotify.com/track/4F2OilypcmGv2TJIfto9sr";"https://www.deezer.com/track/2596087122";"https://music.apple.com/fr/album/best-friend/1727321096?i=1727321114&uo=4";
"Nubiyan Twist";"Find your flame";"Reach my soul";"2024";"STRUT RECORDS";1714833397;1714833600;"https://open.spotify.com/track/1VYzvl20UKGXponjU9ekFk";;;
"Dressel Amorosi";"Synthporn / Cargo";"Synthporn";"2023";"FOUR FLIES RECORDS";1714833599;1714833861;"https://open.spotify.com/track/4tAxdr6QwlrSudonnlYLAB";"https://www.deezer.com/track/2438560515";"https://music.apple.com/fr/album/synthporn/1705251319?i=1705251320&uo=4";
"Santana";"Supernatural";"Wishing it was";"1999";"ARISTA/BMG";1714833857;1714834148;;;;
"Benjamin Biolay";"Palermo Hollywood";"Palermo Hollywood";"2016";"BARCLAY";1714834145;1714834335;"https://open.spotify.com/track/51wVAcE6jyknA2q11JEugG";;"https://music.apple.com/fr/album/palermo-hollywood/1440831888?i=1440832008&uo=4";
"Matt Maltese";"Misery";"Misery";"2018";"ATLANTIC RECORDS UK";1714834331;1714834480;"https://open.spotify.com/track/03Ed1YLcQ6BXmkakZQHOj8";"https://www.deezer.com/track/491032352";"https://music.apple.com/fr/album/misery/1714234847?i=1714236348&uo=4";
"Holger Czukay";"Fantastic voyage";"Ode to perfume";"1981";"ACE";1714834477;1714834723;;"https://www.deezer.com/track/438137302";;
"The Beatles";"1";"I feel fine";"1964";"EMI";1714834720;1714834856;;;"https://music.apple.com/fr/album/i-feel-fine/1440833098?i=1440833545&uo=4";
"Charlie Parker";"Unheard Bird/The unissued takes";"Fiesta";"1957";"VERVE";1714834853;1714835023;;"https://www.deezer.com/track/1062299502";;
"The Last Poet";"Chastisment";"Bird's word";"1972";"BLUE THUMB";1714835022;1714835397;;;;
"Chaka Khan";"What cha' gonna do for me";"And the melody still lingers on (Night in Tunisia)";"1981";"WARNER BROS";1714835395;1714835695;"https://open.spotify.com/track/0YAw3li0XmfhoGp7GRHdLS";"https://www.deezer.com/track/3906246";"https://music.apple.com/fr/album/and-the-melody-still-lingers-on-night-in-tunisia/272494929?i=272495090&uo=4";
"Erobique";"No. 2";"Mantas";"2023";"MR. MELLOW’S MUSIC";1714835694;1714836006;"https://open.spotify.com/track/3i4wxLxPFSSp4h0zgF8Joj";"https://www.deezer.com/track/2214663787";"https://music.apple.com/fr/album/mantas/1679809938?i=1679810655&uo=4";
"Dj Gummy Bear";"Intercession before Charlotte";"Break from her spell";"2024";"LORD'S CHILD, LLC";1714836003;1714836179;"https://open.spotify.com/track/7j5XCEQbOWD0KU9TXRs6iZ";"https://www.deezer.com/track/2688583312";;
"Bryan Ferry";"More than this/The best of Brian Ferry + Roxy music";"Smoke gets in your eyes";"1974";"VIRGIN";1714836177;1714836350;"https://open.spotify.com/track/7Ae7Ru3ADBJZLiD9CL5Qhl";"https://www.deezer.com/track/3405434";;
"Kenneth Weiss";"Jean Sébastien Bach : Le clavier bien tempéré";"Le clavier bien tempéré BWV 846 à 869 Livre I : BWV 846 à 857 : Fugue en Ut dièse Maj BWV 848";"2014";"SATIRINO RECORDS";1714836348;1714836514;;;;
"Blur";"Parklife";"Clover over Dover";"1994";"PARLOPHONE";1714836511;1714836712;;;;
"Otis Redding";"The very best of Otis Redding";"(Sittin' on) the dock of the bay";"1968";"ATCO";1714836704;1714836867;"https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF";"https://www.deezer.com/track/495824392";"https://music.apple.com/fr/album/sittin-on-the-dock-of-the-bay/266601413?i=266605724&uo=4";
"Oscar";"Beautiful words";"Forget me not";"2015";"WICHITA RECORDINGS";1714836866;1714837048;;;"https://music.apple.com/fr/album/forget-me-not/992379346?i=992379357&uo=4";
"The Ventures";"U.S.A.";"Caravan";"1963";"EMI";1714837048;1714837216;"https://open.spotify.com/track/5LbYpQNSkzibQ6icHw5jkS";;;
"Brigitte Fontaine";"Compil.:Saint-Germain-des Prés revisité";"La caravane";"2006";"EMI";1714837214;1714837415;;"https://www.deezer.com/track/11217203";;
"Martinho Da Vila";"L'anthologie de la musique brésilienne";"Disritmia";"1974";"UNIVERSAL MUSIC";1714837411;1714837555;"https://open.spotify.com/track/7fs6csqE3EltCrESv6cn0J";"https://www.deezer.com/track/542239";"https://music.apple.com/fr/album/disritmia/402319784?i=402319791&uo=4";
"Seafood Sam";"Standing on giant shoulders";"When I met Rose";"2024";"DRINK SUM WTR";1714837554;1714837676;"https://open.spotify.com/track/3Oiebaj2rGHzWZUj7W9bHV";;;
"Brandee Younger";"Brand new life";"Come live with me (interlude)";"2023";"DECCA RECORDS";1714837671;1714837807;;"https://www.deezer.com/track/2216973267";;
"Maxine Funke";"Clear";"Saturdays";"2024";"DISCIPLES";1714837804;1714837970;"https://open.spotify.com/track/4mUj1maQux4MLd1NAI9Kej";"https://www.deezer.com/track/2616803072";"https://music.apple.com/fr/album/saturdays/1725292098?i=1725292100&uo=4";
"Bobby Goldsboro";"Bof / Drugstore cowboy";"Little Things";"1964";"NOVUS";1714837968;1714838112;;;;
"The Soul Snatchers";"Monsters of funk & soul";"Good And Plenty";"2010";"UNIQUE";1714838111;1714838330;;;;
"Stella";"L' Intégrale sixties / Succés de 1963 a 1968";"Le silence";"1967";"EMI";1714838328;1714838432;;;;
"Ferrante & Teicher And Their Orchestra";"American love themes";"The sound of silence";"1983";"LIBERTY";1714838433;1714838625;;;;
"Francis Lung";"Miracle";"The let down";"2021";"MEMPHIS INDUSTRIES";1714838621;1714838847;"https://open.spotify.com/track/4iR9JgjXXDBroG01wucyso";"https://www.deezer.com/track/1218395022";"https://music.apple.com/fr/album/the-let-down/1553826962?i=1553827187&uo=4";
"America";"View from the ground";"You can do magic";"1982";"EMI";1714838847;1714839074;"https://open.spotify.com/track/5dXED6MP1v1qghkaniirb1";;"https://music.apple.com/fr/album/you-can-do-magic/716036313?i=716036654&uo=4";
"Janice Nikki Harisson";"Message in our music vol. 2";"Magic of love";"1981";"FAVORITE RECORDINGS";1714839070;1714839331;;;;
"Saigon Soul Revival";"Ai that long yeu ai";"Ai that long yeu ai (Instrumental)";"2024";"SAIGON SUPERSOUND";1714839330;1714839569;;;"https://music.apple.com/fr/album/ai-th%E1%BA%ADt-l%C3%B2ng-y%C3%AAu-ai-instrumental/1734997406?i=1734997418&uo=4";
"Kim Loan";"Saigon supersound : 1965-75 volume one";"Can nhà ngoai ô";"1966";"SAIGON SUPERSOUND";1714839566;1714839789;;"https://www.deezer.com/track/358009831";;
"Martina Dasilva";"Milky way";"Life on mars";"2023";"LA RESERVE RECORDS";1714839786;1714840118;"https://open.spotify.com/track/3VfZZ2bFVe7WYYyY9HOdtI";"https://www.deezer.com/track/2155634627";;
"Ensemble Siegfried Fink";"Drums in concert";"Sonate en Sol Maj K 431 - arrangement pour vibraphone et marimba";"1980";"THOROFON";1714840116;1714840223;;;;
"Les Parisiennes";"Il fait trop beau pour travailler";"Les fans de Mozart";"1965";"";1714840217;1714840373;;;;
"Dj Premier";"RE GENERATION music project";"Regeneration";"2017";"";1714840372;1714840620;;;;
