"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Antonin";"En silence";"Caresse 2";2023;"EKLEROSHOCK RECORDS";1710653980;1710654131;"https://open.spotify.com/track/2xcO6qWnG8R84CvUX1G5jq";;"https://music.apple.com/fr/album/caresse-2/1680740202?i=1680741424&uo=4"
"D'Agua Negra";"Acopalices";"Acopalices";2021;"AMPLIFIA RECORDS";1710654123;1710654342;"https://open.spotify.com/track/3xUsU0BRdfbjzfm0e1tJxa";;"https://music.apple.com/fr/album/acopalices/1592144164?i=1592144336&uo=4"
"Hailey Brinnel";"Beautiful tomorrow";"I want to be happy";2023;"OUTSIDE IN MUSIC";1710654339;1710654624;"https://open.spotify.com/track/55wcWUOm61rMaChI8oDEfh";;
"BlauBird";"Pendant que les champs brûlent";"Pendant que les champs brûlent";2020;"CHANCY PUBLISHING";1710654622;1710654867;"https://open.spotify.com/track/4efRfyvA5n8AZmORn9fRrE";;
"Stephen Ulrich";"Music from this American life";"Earthly";2023;"Barbès";1710654864;1710655092;"https://open.spotify.com/track/5JG0puEAdCoLTRBffk9UXV";;
"Partner Look";"By the book";"Diamonds";2022;"TROUBLE IN MIND";1710655087;1710655221;"https://open.spotify.com/track/6lgH9uZJoDngAdGMDyzZbA";;
"Julian Lage";"Speak to me";"Omission";2024;"BLUE NOTE";1710655220;1710655423;"https://open.spotify.com/track/4BNDJ8JLYVc5nkoaIeogna";;
"Lani Hall";"Sun down lady";"You";1972;"HERB ALPERT PRESENTS";1710655420;1710655660;"https://open.spotify.com/track/1Y6LlpNpnCEAvP8O2i5PdC";;"https://music.apple.com/fr/album/you/1530475649?i=1530475801&uo=4"
"Satellite Jockey";"Le week-end";"Silence";2020;"ANOTHER RECORD";1710655657;1710655865;;;
"Akai Tori (the Red Birds)";"Nippon acid folk 1970-1980";"Hotaru";2024;"TIME CAPSULE";1710655862;1710656077;;;
"Takeshi Terauchi";"Nippon guitars/Instrumental surf, eleki & tsugaru rock 1966-1974";"Touryanse";1966;"BIGBEAT INTERNATIONAL";1710656071;1710656218;;;
"El Michels Affair";"Crown jewels / vol. 2";"Reasons";2022;"BIG CROWN";1710656218;1710656412;"https://open.spotify.com/track/6EIVyWXwdyIhJaicqCsU48";;
"Alexvndria";"Hopeless romantic";"Stay";2024;"AUTOPRODUCTION";1710656411;1710656615;"https://open.spotify.com/track/0X9YuKJcHJK0oy02DJb7IL";;"https://music.apple.com/fr/album/stay/1724075180?i=1724075184&uo=4"
"Orchestre De Philadelphie";"George Gershwin : Porgy and Bess - Highlights";"There's a boat dat's leavin' soon (Acte III Sc 2) Sportin' life";2021;"PENTATONE";1710656615;1710656760;;;
"Chassol";"Big Sun";"Birds (part I)";2015;"TRICATEL";1710656760;1710657000;;;
"Barry White";"The collection";"Can't get enough of your love babe";1974;"MERCURY";1710656996;1710657238;;;
"BMX Bandits";"Dreamers on the run";"Time To Get Away";2024;"TAPETE RECORDS";1710657233;1710657481;;;
"Mamama";"Hier sera meilleur";"Message à toi même";2024;"BYEBYE RECORDS";1710657472;1710657761;;;
"Wax Machine";"The sky unfurls, the dance goes on";"Memories";2023;"BATOV RECORDS";1710657757;1710657966;"https://open.spotify.com/track/1LIme6Vag8c5lbCncFhJMN";;"https://music.apple.com/fr/album/memories/1702004194?i=1702004199&uo=4"
"Nancy Sinatra & Lee Hazlewood";"Fairytales and fantasies : The best of";"Some velvet morning";1969;;1710657963;1710658182;;;
"Peggy Lee";"Mink jazz";"Cloudy Morning";1963;"CAPITOL RECORDS";1710658179;1710658338;"https://open.spotify.com/track/6eR6NEWc0Yf57WALXzm83V";;
"Bill Withers";"Bill Withers greatest hits";"Lovely day";1972;"CBS";1710658336;1710658583;;;"https://music.apple.com/fr/album/lovely-day/1663799496?i=1663803526&uo=4"
"Hugh Masekela";"Reconstruction";"Wosa";1970;"CHISA";1710658576;1710658715;;;
"Still Corners";"Dream talk";"Secret world";2024;"WRECKING LIGHT RECORDS";1710658714;1710658931;"https://open.spotify.com/track/3fgzpTF1ghP8DqDO5MhuMO";"https://www.deezer.com/track/2680695032";"https://music.apple.com/fr/album/secret-world/1724907627?i=1724907925&uo=4"
"Becca Mancari";"Left Hand";"It's too late";2023;"CAPTURED TRACKS";1710658928;1710659100;"https://open.spotify.com/track/3kyNvnWPlvMMuRu58Os8Rf";"https://www.deezer.com/track/2282108037";
"Lady Wray";"Under the sun (surprise chef remix)";"Come on in (les imprimés remix)";2023;"BIG CROWN RECORDS";1710659093;1710659264;"https://open.spotify.com/track/4awcSEDK2xQ825DR2Y26NQ";"https://www.deezer.com/track/2471181361";
