"Artist";"Album";"Song";"start";"end";"itunes";"spotify";"Year";"Label";"deezer";"youtube"
"Bebe";"Bebé";"Tenta me entender";1705553005;1705553201;;"https://open.spotify.com/track/7yX8riDIjFfUhHapyWrknb";2021;"ORI RECORDS";;
"Ned Doheny";"Strange games & funky things / Volume 5";"Get It Up For Love";1705553201;1705553469;;"https://open.spotify.com/track/1pcG5AKS1PTa5sz9cBOCLZ";1976;"BBE";;
"Bon Voyage Organisation";"(Loin des) rivages";"Les pêcheurs";1705553464;1705553744;"https://music.apple.com/fr/album/les-p%C3%AAcheurs/1607881389?i=1607882060&uo=4";"https://open.spotify.com/track/2IHY5IlKxHgvsk2HtsEdaN";2022;"L'INVITATION MUSICALE";"https://www.deezer.com/track/1640186352";
"Xavier Plumas";"Rose-amère";"Autre lieu";1705553740;1705553986;;"https://open.spotify.com/track/6Phjn7J5jHsNZwRKsra1pK";2023;"LA LEZARDE";"https://www.deezer.com/track/2206088827";
"Jonnine";"Maritz";"I put a little thing in your pocket";1705553987;1705554051;;"https://open.spotify.com/track/2frXKqmVc0HMBGUeEYNDpU";2023;"N&J BLUEBERRIES";;
"Tori";"Descese (Lado A)";"Eco";1705554050;1705554221;"https://music.apple.com/fr/album/eco/1653003757?i=1653004241&uo=4";"https://open.spotify.com/track/18HIoO3wxwLW2bQdeQ45Yp";2022;"PWR RECORDS";"https://www.deezer.com/track/2181305667";
"Stan Getz";"Sweet rain";"O Grande Amor";1705554219;1705554500;;"https://open.spotify.com/track/7rGj87c8xuoOBUmqTyNV6o";1967;"VERVE";;
"Tim Buckley";"Goodbye and hello";"Phantasmagoria in two";1705554498;1705554703;"https://music.apple.com/fr/album/phantasmagoria-in-two/393790303?i=393790319&uo=4";"https://open.spotify.com/track/1EfWxxlaLLiwnLS3ABr8vu";1967;"ELEKTRA";;
"Jeff Buckley";"Grace";"Last goodbye";1705554699;1705554971;;"https://open.spotify.com/track/0y5CnV2idm2KkQEudDjfDT";1994;"COLUMBIA";;
"Lavinia Meijer";"Voyage";"2 danses L 103 : Danse profane - pour harpe et orchestre à cordes";1705554966;1705555242;;;2015;"SONY CLASSICAL";;
"Curtis Mayfield";"Baltic soul weekender";"You're so good to me";1705555242;1705555457;"https://music.apple.com/fr/album/youre-so-good-to-me/111215110?i=111214825&uo=4";"https://open.spotify.com/track/6Kp8JhZVCmL20H8Wd7Rs2E";1979;"UNIQUE RECORDS";;
"Steven Bamidele";"Summing up";"Throw it all away!";1705555456;1705555703;;"https://open.spotify.com/track/3paihSny2H2QKLe9mUSqpr";2023;"TRU THOUGHTS";;
"Fruit Distro Collective";"Some kind of wisdom";"Balance in all things";1705555700;1705555887;;"https://open.spotify.com/track/665K7zTye1rOHfNMOsIvdZ";2022;"DOPENESS GALORE";;
"Julien Baer";"Notre dame des limites";"Drole de situation";1705555884;1705556092;;;2005;"UNIVERSAL";;
"The Rolling Stones";"Let it bleed";"Live with me";1705556091;1705556301;"https://music.apple.com/fr/album/live-with-me/1500642838?i=1500642843&uo=4";"https://open.spotify.com/track/31YMV7aMItO8jzyc10iRrS";1969;"LONDON";"https://www.deezer.com/track/9914837";
"BB King";"Spotlight on Lucille";"Calypso jazz";1705556300;1705556598;;;1986;"ACE";;
"Public Enemy";"Power To The People And The Beats: Public Enemy'";"Give it up";1705556596;1705556877;;"https://open.spotify.com/track/60XB3lgW3j3G5HeVeNgDL7";1994;"DJRE";;
"Voyou";"Chroniques terrestres (Vol.1)";"Bal fantôme";1705557302;1705557439;"https://music.apple.com/fr/album/bal-fant%C3%B4me/1551586902?i=1551586917&uo=4";"https://open.spotify.com/track/19tK2vK1o9NZXHN9NvRx6N";2021;"LES DISQUES ENTREPRISE / A+LSO";"https://www.deezer.com/track/1228444992";
"Ariel Tintar";"Seconde peau";"Missie´ Bolo";1705557438;1705557663;;;2022;"D & A";;
"Bebo Valdes";"Valdes Bebo & Lopez Israël """"Cachao""""/Bebo & Cachao";"Dile a catalina";1705557602;1705557766;;"https://open.spotify.com/track/1fEnSwWSQfXWn9TfLKq1aL";2007;"RUMORRECORDS";;
"Chris Clark";"The motown collection";"From head to toe";1705557766;1705557925;"https://music.apple.com/fr/album/from-head-to-toe-mono-version/1442829965?i=1442830605&uo=4";"https://open.spotify.com/track/2RjBrSa9i167PWpFp3XwYz";1967;"MOTOWN";;
"Randy Newman";"12 songs";"Mama told me not to come";1705557924;1705558054;;"https://open.spotify.com/track/6uYrDQX0lNmeM9di1B5rAI";1970;"REPRISE";;
"Lewsberg";"Out and about";"A different view";1705558050;1705558226;;"https://open.spotify.com/track/15rMAd95cySgR8jgLgrlXI";2023;"AUTO PRODUCTION / KURONEKO";;
"Turkish Delight";"Prophecy";"Bir ada";1705558225;1705558333;"https://music.apple.com/fr/album/bir-ada/1602499964?i=1602500257&uo=4";"https://open.spotify.com/track/1UzbkyQbEO59PyrscjqwWS";2022;"ACORA RECORDS";;
"Simon & Garfunkel";"Parsley Sage Rosemary and Thyme";"Cloudy";1705558332;1705558462;;;1969;"CBS";;
"Erlkings (the)";"The Erlkings : Schumann";"Dichterliebe op 48 : 10. Hör' ich das Liedchen klingen - arrangement pour voix guitare violoncelle tuba batterie ou vibraphone";1705558462;1705558572;;;2020;"RHYTHMIC DOG";;
"Helena Noguerra";"D'1 siecle à l'autre/ Melodie francaise";"Au bord de l'eau";1705558570;1705558702;"https://music.apple.com/fr/album/au-bord-de-leau/218340338?i=218341346&uo=4";"https://open.spotify.com/track/5cM5gnscmSTb5CdoFTVs1k";2007;"H.MUNDI";;
"Slim Moore And The Mar Kays";"Introducing Slim Moore & The mar-kays";"Mar-kays' theme";1705558699;1705558890;;;2011;"MARLOW";;
"The Faithful Brothers";"The Faithful Brothers";"Crying clown";1705558886;1705559029;"https://music.apple.com/fr/album/crying-clown/1699117071?i=1699117624&uo=4";"https://open.spotify.com/track/1x12j6bSHoNz6ficPOMD8j";2023;"MR. MELLOWA€™S MUSIC";"https://www.deezer.com/track/2340047165";
