"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Joan As Police Woman";"Damned devotion";"Steed (for Jean Genet)";"2018";"PLAY IT AGAIN SAM";1730537796;1730538042;"https://open.spotify.com/track/2qIbGGs68qNpltmiOql7Oq";;
"Tony Allen";"Jazz is dead / Vol. 18";"Makoko";"2023";"JAZZ IS DEAD";1730538041;1730538194;"https://open.spotify.com/track/17q8RA5oKKm9G5AGLKgRYr";;
"Jembaa Groove";"Ye ankasa / We ourselves";"Sweet my ear";"2024";"AGOGO RECORDS";1730538193;1730538470;"https://open.spotify.com/track/5jISju3BDYCqbkF6VjQUbM";"https://www.deezer.com/track/2017006997";
"Akira Yasuda";"Wamono A to Z vol. II : Japanese jazz funk 1970-1977";"Yumura no obaba";"1971";"180G";1730538469;1730538650;;;
"Jaco Pastorius";"Punk jazz / The Jaco Pastorius anthology";"Soul intro / The chicken (live 1982)";"1982";"WARNER BROS";1730538649;1730539058;;;
"Graham Central Station";"Graham central station";"Hair";"1975";"WEA";1730539042;1730539336;;"https://www.deezer.com/track/5743764";
"Sinclair";"Que justice soit faite !";"Voir ailleurs";"1993";"VIRGIN";1730539336;1730539671;;"https://www.deezer.com/track/674642122";"https://music.apple.com/fr/album/voir-ailleurs/1462433650?i=1462433874&uo=4"
"Red Hot Chili Peppers";"Unlimited love";"Poster child";"2022";"WARNER RECORDS";1730539670;1730539986;"https://open.spotify.com/track/6LwwlI0IvFTN6DRUDdkkT8";"https://www.deezer.com/track/1683706727";
"Rahill";"Flowers at your feet";"I smile for E";"2023";"BIG DADA";1730539985;1730540172;"https://open.spotify.com/track/5ui5Wk6zMALtwtYIHaB9a6";;
"Laurent Garnier";"Tales of a kleptomaniac";"Dealing with the man";"2009";"PIAS RECORDINGS";1730540169;1730540519;;;
"Leon Phal";"No pain no champagne";"Shaped by water";"2024";"SONY";1730540512;1730540746;"https://open.spotify.com/track/3r4IwIKPzgCTqo3nhoRHXq";"https://www.deezer.com/track/2923109041";
"Roge";"Tropical Man";"Tropical man";"2024";"DIAMOND WEST RECORDS";1730540745;1730540969;"https://open.spotify.com/track/7lkqxAoVA5OGYFQ19IGUfK";;
"Homer";"Ensatina";"So get up!";"2024";"BIG CROWN RECORDS";1730540970;1730541168;"https://open.spotify.com/track/7CgGDkh7H7NuLspHVEVSOs";"https://www.deezer.com/track/2907290721";
"Four Tet";"Loved";"Loved";"2024";"TEXT RECORDS";1730541167;1730541405;"https://open.spotify.com/track/2rIDrqcliMqD8AydNA4Tmc";;
"Portishead";"Portishead";"Only you";"1997";"GO BEAT";1730541399;1730541697;"https://open.spotify.com/track/2qKkC9cODRjIlsdyEkSJLQ";;
"Floating Points";"Journée Laurent Garnier / Nuit";"Shangrila";"2009";"";1730541695;1730541908;;;
"Domenique Dumont";"X";"La Dolce Vita";"2022";"ANTINOTE";1730541906;1730542120;"https://open.spotify.com/track/1bItSfdwKGNbDzk7JMZju0";"https://www.deezer.com/track/1983109747";
"Polycool";"Something between us";"Something between us";"2022";"AUTOPRODUCTION";1730542117;1730542250;"https://open.spotify.com/track/4JUsazLkyFxNtcbqn4vCD0";;
"Doug Paisley";"Say what you like";"Wide open plain";"2023";"OUTSIDE MUSIC";1730542250;1730542575;"https://open.spotify.com/track/3x5apu95ao082xxheeAUUG";"https://www.deezer.com/track/1976858517";
"Yasmin Williams";"Urban driftwood";"Juvenescence";"2021";"SPINSTER";1730542571;1730542796;"https://open.spotify.com/track/5KrUt55R9EGl9ZMl8BL8kV";;
"Neil Young";"Peace trail";"My pledge";"2016";"REPRISE RECORDS";1730542792;1730543025;"https://open.spotify.com/track/1CMtlKgbU89KsOERO5FOx8";;
"Elizabeth King";"Soul provider";"Be so glad";"2024";"BIBLE & TIRE RECORDING";1730543018;1730543258;"https://open.spotify.com/track/3qRGL46FAmQTiDSqQozWC6";"https://www.deezer.com/track/2616531292";"https://music.apple.com/fr/album/be-so-glad/1725169214?i=1725169348&uo=4"
"Michel Jonasz";"Chanter le blues";"J'avais mis 'Rip it up' sur la platine";"2023";"MJM";1730543255;1730543457;;;
"Manuel Barrueco";"Manuel Barrueco complete recordings on Warner Classics / CD 07";"Michelle - pour guitare";"2022";"WARNER CLASSICS";1730543453;1730543644;;;
"Stevie Wonder";"My cherie amour";"Light my fire";"1968";"TAMLA MOTOWN (ET PM)@";1730543637;1730543856;;"https://www.deezer.com/track/6821055";
"Seratones";"Power";"Who are you now";"2019";"NEW WEST RECORDS";1730543852;1730544034;"https://open.spotify.com/track/2jKqCIfDb0GyJfp9WgUfXq";"https://www.deezer.com/track/678572012";"https://music.apple.com/fr/album/who-are-you-now/1461656897?i=1461656918&uo=4"
