"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"A.M. Son";"Mystic night";"Mystic night";"2023";"NICE GUYS";1764992894;1764993133;"https://www.deezer.com/track/2072263357";"https://open.spotify.com/track/5vjuknUcVxifkZ5EfXVhXS";"https://music.apple.com/fr/album/mystic-night/1660106956?i=1660106963&uo=4"
"Odetta";"At the gate of horn";"Gallows tree (gallows pole)";"1957";"TRADITION";1764993116;1764993298;;;
"Paul Meisen";"Musique galante pour flute et guitare";"Grande sonate en La Maj op 85 pour flute et guitare : II. Andante molto sostenudo";"1984";"MDG";1764993284;1764993532;;;
"Jane Birkin";"Pop a Paris : Libération";"Encore lui";"2024";"PANTHEON";1764993516;1764993673;"https://www.deezer.com/track/89077383";"https://open.spotify.com/track/2BTVaYeUUkLYqJgSyfOC8W";
"Mavis Staples";"We'll never turn back";"We shall not be moved";"2007";"ANTI";1764993654;1764993937;"https://www.deezer.com/track/378371311";"https://open.spotify.com/track/0XIbkOw2LB3P5nPsYSDTeS";
"Lydia Marcelle";"Sixty Smokin' Soul Senders";"Everybody dance";"1965";"";1764993933;1764994096;"https://www.deezer.com/track/115976118";;
"The Heptones";"The Heptones Night Food and Black Ark Outtakes";"Shake up dub";"2018";"SHAKLOW (ACQUISITION)";1764994080;1764994273;"https://www.deezer.com/track/506231642";;
"John Lennon";"The John Lennon collection";"Stand By Me";"1975";"CAPITOL";1764994256;1764994473;;;
"Benny Sings";"Young hearts";"Movie star";"2023";"STONES THROW RECORDS";1764994455;1764994644;"https://www.deezer.com/track/2434977405";"https://open.spotify.com/track/38eezlkjvczJZBu6hsKEWF";
"Jowee Omicil";"sMiLes";"Soeur Felix aka BeeHive";"2025";"BasH ! Village Records";1764994632;1764994877;"https://www.deezer.com/track/3554462261";"https://open.spotify.com/track/461my9Euo7i2oOdMtoU4T4";
"Paz";"Do what you love";"Time Stood Still";"1978";"Trunk";1764994859;1764995104;"https://www.deezer.com/track/1396564322";;
"Calypso Rose";"So calypso !";"Underneath the mango tree";"2018";"BECAUSE MUSIC";1764995080;1764995252;"https://www.deezer.com/track/482869412";"https://open.spotify.com/track/1Cvojv35N5JnOdM6zEJDOR";
"Dinah Shore";"For sentimental reasons";"Buttons and bows";"1947";"CAPITOL";1764995244;1764995373;"https://www.deezer.com/track/3982338";;
"Hubert Lenoir";"Recommencer";"Recommencer";"2019";"SIMONE RECORDS";1764995364;1764995591;"https://www.deezer.com/track/664661712";"https://open.spotify.com/track/3mAl7yR8wKkUTPh8iK7zrx";
"Thee Sacred Souls";"Got a story to tell";"Lucid girl";"2024";"DAPTONE RECORDS";1764995572;1764995787;"https://www.deezer.com/track/2824391322";"https://open.spotify.com/track/5TdnxXaZIqJjASZaJQrW2e";
"Nathaniel Rateliff";"Something Borrowed, Something New : A Tribute to John Anderson";"Low dog blues";"2022";"EASY EYE SOUND";1764995775;1764996004;"https://www.deezer.com/track/1843996547";"https://open.spotify.com/track/07Xkk56uB6HfGekcA5N8wn";
"Ours Samplus";"One day one beat (Vol.2)";"Sand sofa";"2019";"THENEL";1764995991;1764996178;"https://www.deezer.com/track/729371332";"https://open.spotify.com/track/511jLmgRJuYOnOSUu05W59";
"Arrested Development";"People everyday";"People everyday (Metamorphosis mix)";"1992";"COOLTEMPO";1764996159;1764996467;"https://www.deezer.com/track/3100807";;
"Rio Kosta";"It's starting";"It's starting";"2025";"VERDIGRIS";1764996446;1764996770;"https://www.deezer.com/track/3250840641";"https://open.spotify.com/track/09t9XJnyzfCqqeAmBJpoKW";
"Soothsayers";"We are many";"Rolling";"2020";"WAH WAH 45S";1764996754;1764997023;;;
"Laurent Bardainne & Tigre D’eau Douce";"Oiseau (feat. Bertrand Belin) (radio edit)";"Oiseau (feat. Bertrand Belin) (radio edit)";"2022";"HEAVENLY SWEETNESS";1764997009;1764997225;;;
"Sababa 5";"Popcorn / The bird song";"The bird song";"2022";"BATOV RECORDS";1764997216;1764997397;"https://www.deezer.com/track/1738941867";"https://open.spotify.com/track/2bmIXr2nKhgghaHarvbkVv";
"DJ Harrison";"Shades of yesterday";"Lil birdie";"2024";"STONES THROW RECORDS";1764997377;1764997627;"https://www.deezer.com/track/2516270221";"https://open.spotify.com/track/3ZlM3jTgrfTYp7AlASBJm4";
"D'Angelo";"Voodoo";"Chicken grease";"1999";"EMI";1764997608;1764997900;"https://www.deezer.com/track/139102913";"https://open.spotify.com/track/3VVMp8aj2cffxNs9Fjsmpb";
"Medeski Martin And Wood";"Shack-man";"Think";"1996";"GRAMAVISION";1764997877;1764998210;;;
"The Black Crowes";"The Southern harmony and musical companion";"Remedy";"1992";"DEF AMERICAN RECORDINGS";1764998208;1764998531;"https://www.deezer.com/track/65707241";"https://open.spotify.com/track/217a9W3cZ3ur40RFQW2pTo";"https://music.apple.com/fr/album/remedy/1444056030?i=1444056278&uo=4"
"Dewolff";"Thrust";"Sometimes";"2018";"MASCOT RECORDS ,";1764998531;1764998765;"https://www.deezer.com/track/1587061492";"https://open.spotify.com/track/6BryBT6l5D9oaPZfLlVo29";
"Stevie Wonder";"Hotter than july";"Master blaster (Jammin')";"1980";"MOTOWN";1764998748;1764999072;"https://www.deezer.com/track/596034792";"https://open.spotify.com/track/6NjYhDWaI8jKgcSU0ZsJuz";
"Lonnie Liston Smith";"Jazz is dead volume 17 : Lonnie Liston Smith";"What may come";"2023";"JAZZ IS DEAD";1764999054;1764999303;"https://www.deezer.com/track/2661140952";"https://open.spotify.com/track/6Gg7VtkMCqjEpbfLaRFnVO";
"Sessa";"Pequena Vertigem de Amor";"Planta Santa";"2025";"MEXICAN SUMMER";1764999293;1764999517;"https://www.deezer.com/track/3493841321";"https://open.spotify.com/track/1KLi7ZClZPSGS2mJerk72D";
"Blasé";"Blablabla";"Instant magique";"2025";"RECORD MAKERS";1764999494;1764999764;"https://www.deezer.com/track/3175393931";"https://open.spotify.com/track/4Rq211xDDfyUGgNDnTBDzr";
"Habibi";"Dreamachine";"Alone tonight";"2024";"KILL ROCK STARS";1764999742;1765000070;"https://www.deezer.com/track/2651287472";"https://open.spotify.com/track/09Uwjgf2pcC1hTMocYByIV";
"Say She She";"Cut & rewind";"Possibilities";"2025";"DRINK SUM WTR";1765000050;1765000283;"https://www.deezer.com/track/3378108891";"https://open.spotify.com/track/783Gf9F6RtyAKB1sI5fbQh";"https://music.apple.com/fr/album/possibilities/1815756750?i=1815756762&uo=4"
"The Arcs";"Electrophonic chronic";"Califone";"2023";"EASY EYE SOUND / CONCORD RECORDS";1765000269;1765000360;;;
"Bon Iver";"If only I could wait b/w walk Home";"If only I could wait";"2025";"JAGJAGUWAR";1765000338;1765000548;"https://www.deezer.com/track/3211935411";"https://open.spotify.com/track/06o2hgwnRJN0HYelhyVsLm";
"Gildaa";"Pensées diluviennes";"Pensées diluviennes";"2025";"GILDAA - GRAND MUSIQUE MANAGEMENT";1765000530;1765000729;"https://www.deezer.com/track/3352613331";"https://open.spotify.com/track/521aX9tVhRbCpefHZfDO2J";
"Massive Attack";"Blue lines";"Safe From Harm";"1991";"VIRGIN";1765000725;1765001058;;"https://open.spotify.com/track/3FwtHZLXOSsEt4HBzPgMi1";"https://music.apple.com/fr/album/safe-from-harm/693319316?i=693319782&uo=4"
"David Grusin";"Bof/The graduate ( le laureat )";"Sunporch cha-cha-cha";"1968";"CBS";1765000829;1765000999;;;
"Marcos Valle";"Antologia";"Os grilos";"1968";"EMI";1765000991;1765001123;"https://www.deezer.com/track/108455804";;
"Moriah Plaza";"Própolis";"Besos en la playa";"2025";"BATOV RECORDS";1765001121;1765001311;"https://www.deezer.com/track/3465236181";"https://open.spotify.com/track/6Re4j15nbwaNWbepFPOL8m";"https://music.apple.com/fr/album/besos-en-la-playa/1827247882?i=1827247886&uo=4"
"Michael Rault";"Michael Rault";"Right on time";"2022";"WICK RECORDS";1765001310;1765001552;"https://www.deezer.com/track/1680377777";"https://open.spotify.com/track/1Zf5m9KufJ5zzOst5yIjs9";
"Mato";"Hollywoo dub";"Psycho";"2016";"FAVORITE RECORDINGS";1765001551;1765001681;;;
"Joel Sarakula";"Bitcoin bro";"Bitcoin Bro";"2025";"LEGERE RECORDINGS";1765001675;1765001877;"https://www.deezer.com/track/2990736731";"https://open.spotify.com/track/0bCy1QoTAMb85BxbJUG986";
"Michel Jonasz";"Les années 80 commencent";"Mini-cassette";"1979";"WEA MUSIC";1765001877;1765002033;"https://www.deezer.com/track/381024851";"https://open.spotify.com/track/44feQyzFabKrgkXoUFBxbP";"https://music.apple.com/fr/album/mini-cassette/1256388351?i=1256388717&uo=4"
"Indra Rios Moore";"Freedom road";"Walk on the wild side";"2022";"BENDRA RECORDS / L'AUTRE DISTRIBUTION";1765002029;1765002265;;;
"The Rumblers";"Dogfight a love story";"Night Train";"1963";"NOUVEAU";1765002262;1765002390;"https://www.deezer.com/track/14194784";;
"Melissa Laveaux";"Dying is wild night";"Sweet wood";"2013";"NO FORMAT";1765002390;1765002577;"https://www.deezer.com/track/78966569";;"https://music.apple.com/fr/album/sweet-wood/882819969?i=882820256&uo=4"
"The Beatles";"1962-1966 / Album rouge";"I feel fine";"1964";"EMI";1765002576;1765002712;;;
"Sons Of Sevilla";"Street light moon";"Butterfly";"2025";"UBIQUITY";1765002710;1765002884;"https://www.deezer.com/track/3401296261";"https://open.spotify.com/track/4rpirQ5VVgzSoEY2qQe9sJ";
"The Free Design";"The best of Free Design";"Bubbles";"1967";"CHERRY RED RECORDS";1765002881;1765003014;"https://www.deezer.com/track/3184890151";;"https://music.apple.com/fr/album/bubbles/1790495911?i=1790495912&uo=4"
"Gil Shaham";"Devil's dance";"7 morceaux lyriques op 71 : puck - pour piano / arrangement pour violon et piano";"2000";"DGG (DEUTSCHE GRAMMOPHON)";1765003012;1765003118;;;
"Leningrad Cowboys";"Jukebox : Music in the films of Aki Kaurismaki";"Nolo tengo dinares";"2006";"JOHANNA KUSTANNUS";1765003114;1765003275;;;
"The Bar Kays";"What it is ! Funky soul and rare grooves";"Soul finger";"1967";"RHINO";1765003275;1765003413;;;
"Lynn";"L’autre banc";"L’autre banc";"2025";"LE SOFA";1765003412;1765003579;"https://www.deezer.com/track/3422467541";"https://open.spotify.com/track/5TYXR5pjwW7Wekp7Oz4hww";"https://music.apple.com/fr/album/lautre-banc/1821684537?i=1821684541&uo=4"
"Megatronic";"There's truth in gospel";"All I see";"2025";"RAZOR-N-TAPE";1765003573;1765003845;"https://www.deezer.com/track/3537033611";"https://open.spotify.com/track/0XG8g4JvOX9JQ5o16Su3WT";
"Ici Et Lui";"Punk prodige";"Danser sur nos tombes";"2017";"LES DISQUES D'EN FACE";1765003844;1765003992;"https://www.deezer.com/track/349807921";"https://open.spotify.com/track/6x94fodlBvSLGY9OGYkAjA";"https://music.apple.com/fr/album/danser-sur-nos-tombes/1226560577?i=1226561897&uo=4"
"Ara Kekedjian";"Bourj hammoud groove";"Ay dghakner";"";"HABIBI FUNK";1765003991;1765004157;"https://www.deezer.com/track/3505396831";"https://open.spotify.com/track/0aaT4ZVG8fcO4LQUEdVT1l";"https://music.apple.com/fr/album/ay-dghakner/1840977423?i=1840977424&uo=4"
"Metronomy";"Summer 08";"16 beat";"2016";"BECAUSE";1765004156;1765004350;"https://www.deezer.com/track/125799993";"https://open.spotify.com/track/31HMn1efM2W0vlgnKFnAZ4";
"Michael Jackson";"Bad";"Smooth criminal";"1987";"EPIC";1765004340;1765004594;"https://www.deezer.com/track/1120580842";;
"Nicolas Godin";"BOF / Fire of love";"Team Vulcan";"2023";"HOLLYWOOD RECORDS";1765004586;1765004690;"https://www.deezer.com/track/2097605327";"https://open.spotify.com/track/0jdKh9behc0NYo3OkGgwzu";"https://music.apple.com/fr/album/team-vulcan/1660550555?i=1660550561&uo=4"
"Oh Non";"Caiman";"Caïman";"2025";"AUTOPRODUCTION";1765004689;1765004866;"https://www.deezer.com/track/3355623011";"https://open.spotify.com/track/6i7x6oJKBcrHweygMvj0Du";"https://music.apple.com/fr/album/ca%C3%AFman/1812841444?i=1812841449&uo=4"
"Harry Belafonte";"The midnight special";"Muleskinner";"1962";"WOUNDED BIRD RECORDS";1765004860;1765005071;"https://www.deezer.com/track/959911";"https://open.spotify.com/track/7JpbQTH2HQmKCH3hb8C3RL";"https://music.apple.com/fr/album/muleskinner/1087730136?i=1087730684&uo=4"
"Lindi Ortega";"Liberty";"Through the dust, pt. 1";"2018";"SHADOWBOX MUSIC";1765005070;1765005154;"https://www.deezer.com/track/442635682";"https://open.spotify.com/track/4oAW7oBr1AJpNMd0F0iKaX";"https://music.apple.com/fr/album/through-the-dust-pt-1/1327802406?i=1327802407&uo=4"
"Soothsayers";"We are many";"Slave";"2020";"WAH WAH 45S";1765005153;1765005346;"https://www.deezer.com/track/1093557502";"https://open.spotify.com/track/5sUKZGHaVf1FUGlXWWWVC9";"https://music.apple.com/fr/album/slave/1533671477?i=1533671489&uo=4"
"Obongjayar";"Give me more";"Give me more";"2025";"SEPTEMBER RECORDINGS";1765005345;1765005534;"https://www.deezer.com/track/3584237941";"https://open.spotify.com/track/5NDtRNvnSdbGGAWRqDGMSZ";
"The Jb'S";"James brown's funky people (part  1)";"Gimme some more";"1971";"POLYDOR";1765005534;1765005715;;;
"Joshua Redman";"Momentum";"The crunge";"2005";"WB";1765005713;1765005869;;;
"Billie Holiday";"Jazz divas / Vol. 1";"Them there eyes";"1949";"WAGRAM";1765005857;1765006025;"https://www.deezer.com/track/538699252";;
"Lael Neale";"Star eaters delight";"I am the river";"2023";"SUB POP RECORDS";1765006025;1765006237;"https://www.deezer.com/track/2094356647";"https://open.spotify.com/track/4psqJzes2gUj6TlG83f42A";
"Helene Barbier";"Panorama";"Kindness in a cup";"2025";"BONSOUND";1765006233;1765006459;"https://www.deezer.com/track/3497424801";"https://open.spotify.com/track/6nno7ckfahDOEGfXJzLJES";
"Gabriel Tchalik";"Pietro Antonio Locatelli : 24 caprices";"Caprice n°15 en mi min";"2014";"EVIDENCE";1765006457;1765006582;;;
