"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify";"youtube"
"Billie Holiday";"The man I love";"God Bless The Child";"1956";"MCA";1757892030;1757892214;"https://www.deezer.com/track/346060521";"https://music.apple.com/fr/album/god-bless-the-child/1357268100?i=1357269950&uo=4";"https://open.spotify.com/track/2xtC6kb6H26qVX4ZdncS7f";
"John Wright Trio";"South side soul / Nice 'n' tasty / Makin' out / The last amen";"47th and calumet";"2012";"FRESH SOUND";1757892204;1757892451;;;;
"Woods";"Perennial";"Sip of happiness";"2023";"WOODSIST RECORDS";1757892435;1757892717;"https://www.deezer.com/track/2280537957";;"https://open.spotify.com/track/6HTYqNMNuVfLKHKXlLXk94";
"Echolalia";"Odd energy";"Odd energy";"2024";"FULL TIME HOBBY";1757892699;1757893055;"https://www.deezer.com/track/3093757851";"https://music.apple.com/fr/album/odd-energy/1779931956?i=1779932029&uo=4";"https://open.spotify.com/track/0OLoFwRWyfjCgoC3Zuixs8";
"Earth Wind And Fire";"Earth, Wind & Fire";"Fan the fire";"1970";"WARNER BROSS";1757893051;1757893356;;;;
"Kohei Tanaka";"BOF TV / One piece : Land of Wano";"Ebisu town's theme";"2024";"MICROIDS RECORDS";1757893342;1757893497;;;;
"Shurik'N";"Où je vis";"Samurai";"1998";"DELABEL";1757893481;1757893719;"https://www.deezer.com/track/3276708";;"https://open.spotify.com/track/16etD0jjMNdKsHByc48tOY";
"Liz Lawrence";"Peanuts";"That's life";"2024";"CHRYSALIS RECORDS";1757893713;1757893905;"https://www.deezer.com/track/2675734882";;"https://open.spotify.com/track/1Rqzl2a5ZFwwhgcegtqUBX";
"Garbage";"Absolute";"Queer";"1995";"BMG";1757893892;1757894171;;;;
"Karate Boogaloo";"Hold your horses";"Ps emmylou";"2024";"COLEMINE RECORDS";1757894159;1757894381;"https://www.deezer.com/track/2627764682";;"https://open.spotify.com/track/2PTN1Dm3PjoxB99aT4RRzL";
"Jose Carlos Schwarz & Le Cobiana Djazz";"Lua ki di nos";"Dispus ke e lebal";"1970";"HOT MULE RECORDS";1757894371;1757894537;"https://www.deezer.com/track/1246395912";;;
"Art Longo";"Quantum Ceviche";"Quantum ceviche";"2024";"CRACKI";1757894525;1757894730;"https://www.deezer.com/track/3046955641";;"https://open.spotify.com/track/2px8dTi19y7j3TTk9i98O1";
"Joe Yorke";"Hopeless";"Man";"2023";"RHYTHM STEADY";1757894743;1757894948;"https://www.deezer.com/track/2471721601";;"https://open.spotify.com/track/5Wrg6EKleHjSrmjih5AjeF";
"Merve";"Platonik";"Platonik";"2025";"AUTOPRODUCTION";1757894934;1757895143;"https://www.deezer.com/track/3194183431";"https://music.apple.com/fr/album/platonik/1791550764?i=1791550769&uo=4";"https://open.spotify.com/track/0HVIFqM9i0095qFAYueFkT";
"Shay Hazan";"Wusul";"Sunflowers (feat. Nitai Hershkovits)";"2024";"BATOV RECORDS";1757895131;1757895388;;;;
"Erik Truffaz";"The Dawn";"The mask";"1998";"Blue Note";1757895371;1757895674;"https://www.deezer.com/track/3581505631";;"https://open.spotify.com/track/6sfjJNKuf2R5vG7tRglVRz";
