"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer";"youtube"
"Steam";"Hits of the 'sixties";"Na na hey hey kiss him goodbye";"1969";"MERCURY";1718944044;1718944261;;;"https://www.deezer.com/track/2224862047";
"Mosquito Hawks";"Some kinda blues";"Mosquito eater";"2022";"TRAMP RECORDS";1718944265;1718944422;;;;
"Scott Bradlee'S Postmodern Jukebox";"The Essentials";"No diggity (Feat. Ariana Savalas)";"2016";"MUDHUTDIGITAL";1718944421;1718944616;;;;
"Najoi Bel Hadj";"Wavering";"Aminata";"2024";"LE MARION DUFRESNE EDITEUR";1718944607;1718944752;"https://open.spotify.com/track/1YdC4aXtSswyJ9hUUQdCbK";;;
"Morcheeba";"Blood like lemonade";"I am the spring";"2010";"PLAY IT AGAIN SAM";1718944749;1718944951;"https://open.spotify.com/track/1S47GjshU4FHng02AnTHY6";;;
"Aurelia Visovan";"Doktor Lichtenthals MOZART";"Sonate pour piano nº14 en ut min K 457 : 3. Allegro assai - version pour pianoforte et violoncelle - arrangement pour pianoforte et violoncelle";"2023";"GRAMOLA";1718944951;1718945250;;;;
"Marvin Gaye";"A collection of various interpretations of Sunny part 2";"Sunny";"1966";"TROCADERO";1718945246;1718945415;;;;
"J.P. Bimeni & The Black Belts";"Give me hope";"Four walls";"2022";"LOVEMONK DISCOS BUENOS";1718945410;1718945589;;"https://music.apple.com/fr/album/four-walls/1596022260?i=1596022503&uo=4";;
"Warhaus";"Ha ha heartbreak";"Time bomb";"2022";"PIAS";1718945586;1718945877;"https://open.spotify.com/track/5caKLxhma0wCpofWfJICtr";"https://music.apple.com/fr/album/time-bomb/1627309494?i=1627309951&uo=4";;
"Adrian Quesada";"Jaguar sound";"Alberto's loop";"2022";"ATO RECORDS";1718945875;1718946015;"https://open.spotify.com/track/4bZrnzv3314qu4dmtVtPpB";;"https://www.deezer.com/track/1915263557";
"Michel Legrand";"Happy radio days";"Holiday for strings";"1998";"ERATO";1718946000;1718946163;;;;
"Chic";"The chic organization 1977-1979 / CD 2 : C'est chic";"Happy man";"1978";"ATLANTIC";1718946132;1718946394;;"https://music.apple.com/fr/album/happy-man/656983718?i=656983791&uo=4";;
"7 DAYS OF FUNK";"";"Let it go";"2013";"";1718946392;1718946666;"https://open.spotify.com/track/4pIyYgAyJkVw2kkJZhhkLv";"https://music.apple.com/fr/album/let-it-go/734942481?i=734942737&uo=4";"https://www.deezer.com/track/446039532";
"Parental & Figub Brazlevic";"Correspondance";"Jet ski gelato bounce";"2023";"KREKPEK RECORDS";1718946647;1718946803;;"https://music.apple.com/fr/album/jet-ski-gelato-bounce/1674410854?i=1674410857&uo=4";;
"PRINCE";"Diamonds and pearls";"Strollin'";"";"WB";1718946802;1718947028;"https://open.spotify.com/track/6iU91W77FP5vT4JWGOVDCN";;"https://www.deezer.com/track/664143";
"Supertramp";"Breakfast in america";"The Logical Song";"1979";"A&M RECORDS";1718947026;1718947273;"https://open.spotify.com/track/2IOeOJyiuzwF8BRAK9jJyj";"https://music.apple.com/fr/album/the-logical-song/1440756022?i=1440756472&uo=4";"https://www.deezer.com/track/2503274";
"Bert Kaempfert";"With a sound in my heart & afrikaan beat";"Secret love";"1961";"TARAGON";1718947266;1718947407;;"https://music.apple.com/fr/album/secret-love/1489894479?i=1489894480&uo=4";;
"Bo/Les Demoiselles De Rochefort";"BOF / Les demoiselles de Rochefort";"Les demoiselles de Rochefort : Chanson de Maxence";"1967";"MERCURY";1718947297;1718947530;;;;
"GLORIA GAYNOR";"Cette année là! 1974";"NEVER CAN SAY GOODBYE";"";"REMARK";1718947529;1718947706;"https://open.spotify.com/track/1nvWbwYHXGocLrI5cfOSit";"https://music.apple.com/fr/album/never-can-say-goodbye-a-williams-remix/302033864?i=302033908&uo=4";;
"Ann Peebles";"Hi records / The soul years";"Part time love";"1970";"HI RECORDS";1718947703;1718947874;"https://open.spotify.com/track/30lLlmQZBHsiVLNcTKpqjd";;"https://www.deezer.com/track/139954855";
"Surprise Chef";"Friendship";"Friendship Theme";"2023";"BIG CROWN";1718947872;1718948061;"https://open.spotify.com/track/2lXUiUE3GHldPfFPK6LGaN";;"https://www.deezer.com/track/2165866787";
"MILTON NASCIMENTO";"";"O que será (A flor da pele) (Feat. Chico Buarque)";"1976";"";1718948060;1718948299;;;;
"Laurent Voulzy";"Saisons";"Le soleil donne";"1988";"BMG";1718948304;1718948721;;"https://music.apple.com/fr/album/le-soleil-donne/253082950?i=253088602&uo=4";;
"Theo Champion";"Most dreams come false";"Most dreams come false";"2023";"AUTOPRODUCTION";1718948719;1718948910;"https://open.spotify.com/track/2GCUVpp1OqlUVZXCc7fDQh";;;
"Sparklehorse";"It's a wonderful life";"Eyepennies";"2001";"CAPITOL";1718948828;1718949155;"https://open.spotify.com/track/2KN2jYc5w89X3odixWVp1I";"https://music.apple.com/fr/album/eyepennies/1461512623?i=1461512822&uo=4";"https://www.deezer.com/track/675358662";
"ARNAUD FLEURENT-DIDIER (Compositeur)";"";"Un monde meilleur... (14 février 2003, discours à l'onu) [extraits]";"2016";"";1718949121;1718949328;"https://open.spotify.com/track/2vQ5RExhJwmKnZhjTfxI7V";;"https://www.deezer.com/track/117056252";
"JOE DASSIN";"Les plus grandes chansons du siècle";"Les Champs-Elysées";"1969";"UNIVERSAL LICENSING MUSIC";1718949353;1718949509;"https://open.spotify.com/track/4VWbPQUPvLes814r6T11Jz";"https://music.apple.com/fr/album/les-champs-%C3%A9lys%C3%A9es/260903048?i=260903584&uo=4";;
"Pavement";"Crooked rain, crooked rain";"Elevate me later";"1994";"DOMINO RECORDING COMPANY";1718949508;1718949677;"https://open.spotify.com/track/6PVsZG7ZLbCjodCNtbQNfb";"https://music.apple.com/fr/album/elevate-me-later/1589144048?i=1589144059&uo=4";"https://www.deezer.com/track/105281808";
"Chaka Khan";"Like sugar";"Like sugar";"2018";"BARCLAY";1718949676;1718949971;"https://open.spotify.com/track/6uUyZC6Bhfj6Q29stciUz0";"https://music.apple.com/fr/album/like-sugar-extended-mix/1392081432?i=1392081440&uo=4";;
"Ahmed Fakroun";"Awedny";"Nisyan";"1974";"MLP - HISTORY";1718949965;1718950224;;;;
"Orchestre De Chambre De Londres";"BOF / L'ami";"L'ami : L'ami (Prélude)";"2016";"SONY MUSIC";1718950215;1718950274;;;;
"CELINE DION";"";"On ne change pas";"";"";1718950271;1718950516;"https://open.spotify.com/track/06T13g0Hh00zWwMjtpqIKU";"https://music.apple.com/fr/album/on-ne-change-pas/257990082?i=257990169&uo=4";"https://www.deezer.com/track/2205002";
"Monty Python";"Sings";"Always look on the bright side of life";"1979";"VIRGIN";1718950508;1718950719;;;"https://www.deezer.com/track/3133043";
"John Lennon";"The John Lennon collection";"(Just Like) Starting Over";"1980";"PARLOPHONE";1718950715;1718950949;;"https://music.apple.com/fr/album/just-like-starting-over-2010-remix/1440987952?i=1440987959&uo=4";;
"Al Casey Combo";"BOF / Green Book";"Cookin'";"2018";"MILAN ENTERTAINMENT INC.";1718950947;1718950987;"https://open.spotify.com/track/6cDEYCFPsFLRqDjzRnjn2U";"https://music.apple.com/fr/album/cookin/1500818630?i=1500818740&uo=4";"https://www.deezer.com/track/889750442";
"Labi Siffre";"It must be love (The best of Labi Siffre)";"There’s nothing in the world like love";"1971";"MUSIC CLUB DELUXE";1718950985;1718951212;;;;
"SHANGRI-LA";"";"Bourbon cream";"2021";"";1718951210;1718951526;"https://open.spotify.com/track/4RJN8nyndHUKwB6JcoUtl6";;"https://www.deezer.com/track/1448102242";
"Jacques Dutronc";"La leçon de gymnastique du professeur Dutronc  1968 -1969";"Fais pas çi, fais pas ça";"1968";"VOGUE";1718951552;1718951652;"https://open.spotify.com/track/0FypjlDKkK46KkvSPt7bem";;"https://www.deezer.com/track/540433";
"Rosalia";"Llylm";"Llylm";"2023";"COLUMBIA";1718951665;1718951838;"https://open.spotify.com/track/2SiAcexM2p1yX6joESbehd";;;
"Buena Vista Social Club";"Buena Vista social club";"Chan chan";"1997";"NIGT & D";1718951838;1718952093;"https://open.spotify.com/track/3bxZhauuIU4ubctdRZwPYW";"https://music.apple.com/fr/album/chan-chan-monitor-mix/1675123648?i=1675123664&uo=4";"https://www.deezer.com/track/704071482";
"GARDNER JACCO (Compositeur)";"";"Chameleon";"2013";"";1718952090;1718952336;"https://open.spotify.com/track/083Y0JlnSbgSfOOEGtjbxY";"https://music.apple.com/fr/album/chameleon/1020818838?i=1020819106&uo=4";"https://www.deezer.com/track/104316448";
"Coleman Hawkins";"The Hawk in Paris";"April in Paris";"1956";"RCA";1718952330;1718952564;;"https://music.apple.com/fr/album/april-in-paris/575325009?i=575325494&uo=4";"https://www.deezer.com/track/10014702";
"NINA SIMONE";"";"Stars (1976)";"2021";"";1718952375;1718952769;;;;
"Screamin Jay Hawkins";"BOF / Peut-être";"Maybe";"1999";"EAST WEST";1718952796;1718953055;;;;
"Joe Yorke";"Noise and emptiness";"Spectres of dub";"2022";"RHYTHM STEADY";1718953052;1718953236;"https://open.spotify.com/track/1p6Oa8RWqbU5lZ6AKbPG3C";"https://music.apple.com/fr/album/spectres-of-dub/1669790377?i=1669790723&uo=4";;
"Jamie Xx";"Baddy on the floor (feat. Honey Dijon)";"Baddy on the floor (feat. Honey Dijon)";"2024";"YOUNG";1718953096;1718953317;;"https://music.apple.com/fr/album/baddy-on-the-floor-feat-honey-dijon/1736774386?i=1736774725&uo=4";;
"Brigitte Fontaine";"Morceaux de choix";"C'est normal";"1973";"VIRGIN";1718953320;1718953580;;;;
"Red Hot Chili Peppers";"By the way";"Don't forget me";"2002";"WB";1718953580;1718953856;"https://open.spotify.com/track/308kjPoIVBzDNExO54sqAi";"https://music.apple.com/fr/album/dont-forget-me/945578420?i=945578425&uo=4";;
"Tommy Guerrero";"No man's land (CD promo FIP)";"Malas tierras";"2014";"MODULOR";1718953855;1718954043;"https://open.spotify.com/track/6FB19qsR3WQhcZzSP5Hai5";"https://music.apple.com/fr/album/malas-tierras/895162603?i=895162626&uo=4";;
"Fff";"Fff";"Barbes";"1996";"EPIC";1718953889;1718954137;;;;
"Beastie Boys";"The in sound from way out!";"Namaste";"1996";"CAPITOL";1718954130;1718954364;;"https://music.apple.com/fr/album/namaste/724748953?i=724749360&uo=4";;
"La Rumeur";"Premier volet : Le poison d'avril";"Blessé dans mon ego";"2000";"FUAS MUSIC";1718954205;1718954447;;;;
"D Angelo";"Voodoo";"Send it on";"2000";"EMI";1718954443;1718954800;;;;
"Chic";"Nile Rodgers presents / The chic / Organization box set / Vol. 1";"Savoir faire";"1978";"WARNER MUSIC FRANCE";1718954799;1718955099;;"https://music.apple.com/fr/album/savoir-faire/220238200?i=220238569&uo=4";;
"Daft Punk";"Random access memories";"Lose yourself to dance";"2013";"SONY";1718954931;1718955281;;;;
"LES FORBANS";"";"Chante et danse";"2001";"";1718955271;1718955451;;;;
"Royal Philarmonic Orchestra";"Bof / Made in Italy";"Pizzicati";"2008";"SONY";1718955431;1718955473;;;;
"AC/DC";"Back in black";"Shoot to thrill";"1980";"EPIC";1718955469;1718955788;"https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv";"https://music.apple.com/fr/album/shoot-to-thrill/574050396?i=574050498&uo=4";;
"Simon & Garfunkel";"The definitive Simon and Garfunkel";"The 59th street bridge song (feelin' groovy)";"1966";"CBS";1718955786;1718955883;"https://open.spotify.com/track/0dzbfio3qTYG9uk40SJNcr";"https://music.apple.com/fr/album/the-59th-street-bridge-song-feelin-groovy/1467438660?i=1467438682&uo=4";"https://www.deezer.com/track/680009822";
"Duke Ellington & John Coltrane";"Jazz Magazine-Jazzman / L'âge d'or du jazz";"In A Sentimental Mood";"1962";"WAGRAM MUSIC";1718955879;1718956132;;;;
"Gianni Brezzo";"The awakening";"The awakening";"2021";"JAKARTA RECORDS";1718956130;1718956388;"https://open.spotify.com/track/5lcSsPd3twVT6IgquN4EhA";"https://music.apple.com/fr/album/the-awakening/1672765085?i=1672765591&uo=4";;
"Romare";"Late night tales";"Down the line";"2013";"NIGHT TIME STORIES";1718956189;1718956360;;;;
"Charlotte Adigery & Bolis Pupul";"Topical dancer";"Haha";"2022";"BECAUSE MUSIC";1718956360;1718956563;;"https://music.apple.com/fr/album/haha/1587361830?i=1587362592&uo=4";;
"Toure Kunda";"Best of";"Em'ma";"1980";"CELLULOI";1718956561;1718956804;;;;
"Sound Dimension";"Studio One classics";"Full up";"1968";"SOUL JAZZ";1718956799;1718956972;;;"https://www.deezer.com/track/117244950";
"NON IDENTIFIE (Compositeur)";"";"Makhlough";"2008";"";1718956847;1718957074;"https://open.spotify.com/track/45bsaWbpYBd7VdNxBwY3qe";;"https://www.deezer.com/track/10866979";
"Lipps Inc";"La légende des tubes (volume 13)";"Funky town";"1997";"POLYGRAM (DISTR)";1718957073;1718957310;;;;
"Alain Bellaiche";"Sea fluorescent";"Sea fluorescent";"1976";"ASYLUM";1718957503;1718957909;;;"https://www.deezer.com/track/2333152375";
"The Kinks";"Lola versus Powerman and the Money goround";"Lola";"1970";"PRT RECORDS";1718957553;1718957791;;"https://music.apple.com/fr/album/lola-2020-stereo-remaster/1642496948?i=1642496953&uo=4";;
"GIL SCOTT-HERON";"";"Angola Louisiana";"1978";"";1718957561;1718958133;;;;
"Vampire Weekend";"Vampire weekend";"A-punk";"2008";"XL RECORDS";1718958129;1718958265;"https://open.spotify.com/track/3AydAydLzyyZutA0375XIz";"https://music.apple.com/fr/album/a-punk/271489741?i=271489744&uo=4";"https://www.deezer.com/track/937332";
"PATRICK FLEGEL (Compositeur)";"";"I have my doubts";"2024";"";1718958263;1718958471;;;;
"Adriano Viterbini";"Film o sound";"Sleepwalk";"2016";"BOMBA DISCHI";1718958458;1718958526;;;;
"CARTE DE SEJOUR";"LES ANNÉES MITTERAND";"DOUCE FRANCE";"";"";1718958513;1718958730;"https://open.spotify.com/track/4X4efn2QLB4D8mAQN4ctGq";"https://music.apple.com/fr/album/douce-france/1507281230?i=1507282032&uo=4";"https://www.deezer.com/track/2120968";
"Pink Floyd";"Dark side of the moon";"Money";"1972";"EMI";1718958725;1718959108;;;"https://www.deezer.com/track/2150968097";
"Slum Village";"Fantastic 2020 ( vol. 1)";"Jealousy (instrumental)";"2019";"NE'ASTRA MUSIC";1718959098;1718959367;;;;
"DJ MEHDI";"";"Be blessed, be back";"";"";1718959155;1718959220;;;;
"DJ MEHDI";"";"North star";"";"";1718959220;1718959436;;"https://music.apple.com/fr/album/north-star/693471895?i=693472105&uo=4";;
"BEASTIE BOYS";"";"Gratitude";"1992";"";1718959441;1718959607;;"https://music.apple.com/fr/album/gratitude/724618302?i=724618805&uo=4";"https://www.deezer.com/track/3103639";
"TROUBLEMAKERS";"Millenium jazz vol. 2";"Get misunderstood";"2001";"UCMG";1718959604;1718959850;;"https://music.apple.com/fr/album/get-misunderstood/1437831314?i=1437831338&uo=4";"https://www.deezer.com/track/562341302";
"FRANZ SCHUBERT/PNO KLARA WURTZ";"FRANZ SCHUBERT : INTEGRALE DES IMPROMPTUS POUR PIANO";"IMPROMPTU EN LA BEMOL MAJ OP 90 N°4 D 899 N°4";"2009";"";1718959849;1718960243;;;;
"Sharon Jones";"Naturally";"This land is your land";"2004";"TER A TERRE";1718960108;1718960373;;;;
"Cortex";"Troupeau bleu";"La rue";"1975";"UNDERDOG";1718960394;1718960659;"https://open.spotify.com/track/6lzDycd60SJ7H8y6wuESGl";;"https://www.deezer.com/track/132031418";
"ED MOTTA (Compositeur)";"";"Safely far";"2023";"";1718960657;1718960841;"https://open.spotify.com/track/4fouEMdY4YWeF4LFJjwrUs";"https://music.apple.com/fr/album/safely-far/1691505544?i=1691505919&uo=4";;
"Domenique Dumont";"Comme ca (LP)";"Le chateau de corail";"2014";"LABEL CONTROL PRODUCTION";1718960838;1718960875;;;"https://www.deezer.com/track/101660727";
"THE DOORS";"Best of the Doors";"PEOPLE ARE STRANGE";"1966";"ELEKTRA";1718960874;1718961003;;;;
"BO/M.A.S.H.";"Festival de Cannes 60ème anniversaire";"SUICIDE IS PAINLESS";"1970";"NAIVE";1718961002;1718961174;;;;
"The Durutti Column";"The return of the Durutti Column";"Sketch for summer";"1980";"FACTORY REC";1718961173;1718961351;;;"https://www.deezer.com/track/432145262";
"MELLINO STEFANE (Compositeur)";"";"Voilà l'été";"";"";1718961346;1718961588;"https://open.spotify.com/track/6LQk4O4M6BSpKlyoI89NjZ";"https://music.apple.com/fr/album/voil%C3%A0-l%C3%A9t%C3%A9/1231281668?i=1231282866&uo=4";"https://www.deezer.com/track/355628701";
"Kassav";"Kassav/Saga";"Avè'w doudou";"1985";"ZOUK";1718961588;1718961867;;;;
"Jpye";"Samba with you";"Don't stop (instrumental)";"2021";"CLAREMONT 56";1718961861;1718961907;;;"https://www.deezer.com/track/1364970482";
"DR. DRE & SNOOP DOG";"Grammy r&b & rap nominees 2001";"THE NEXT EPISODE";"2001";"CAPITOL";1718961905;1718962067;;;;
"Marvin Gaye";"What's going on";"What's going on";"1971";"MOTOWN";1718962067;1718962290;"https://open.spotify.com/track/3Um9toULmYFGCpvaIPFw7l";"https://music.apple.com/fr/album/whats-going-on/1434917803?i=1434917830&uo=4";;
"Lisa Leblanc";"Chiac disco";"Pourquoi faire aujourd'hui";"2022";"BONSOUND";1718962295;1718962505;;;"https://www.deezer.com/track/1489750112";
"Roger Glover";"Génération Woodstock";"Love is all";"";"TRAX";1718962502;1718962693;"https://open.spotify.com/track/7jruu0eifvOgwBajru3E45";"https://music.apple.com/fr/album/love-is-all/387106396?i=387106576&uo=4";"https://www.deezer.com/track/1569676632";
"George Martin And His Orchestra";"Help !";"Tell me what you see";"1965";"COLUMBIA";1718962690;1718962737;;;;
"MICHEL POLNAREFF";"Les premières années";"Tout, tout pour ma chérie";"";"UNIVERSAL";1718962735;1718962918;"https://open.spotify.com/track/1sAHhBX80qWHSsJwCEVLHj";"https://music.apple.com/fr/album/tout-tout-pour-ma-ch%C3%A9rie/1644718033?i=1644718225&uo=4";"https://www.deezer.com/track/1117123";
"NAT KING COLE";"THE VERY BEST";"LOVE";"1964";"CAPITOL";1718962914;1718963066;;"https://itunes.apple.com/fr/album/l-o-v-e/724184066?i=724185018&uo=4";;"https://www.youtube.com/watch?v=JErVP6xLZwg"
"BILLIE EILISH";"";"GOLDWING";"2021";"";1718963064;1718963213;"https://open.spotify.com/track/0FfqyjhB6Kspvit1oOo7ax";"https://music.apple.com/fr/album/goldwing/1564530719?i=1564530953&uo=4";"https://www.deezer.com/track/1449727432";
"Satellites";"Satellites";"Big baglama";"2022";"BATOV RECORDS";1718963213;1718963422;"https://open.spotify.com/track/142sQCB0AlTGMF5OcB9XMY";;;
"Katerine";"Katerine";"Juifs arabes";"2010";"BARCLAY";1718963419;1718963582;;;;
"Ray Barretto";"Diggin' deeper / The roots of Acid Jazz / Vol. 1";"Pastime paradise";"1979";"COLOMBIA";1718963581;1718964079;"https://open.spotify.com/track/36LpijZOR2wl2hGmVL1EN0";"https://music.apple.com/fr/album/pastime-paradise/169939763?i=169940081&uo=4";"https://www.deezer.com/track/1026146";
"Octofase";"Black rocks";"Sirens";"2020";"OCTOFASE RECORDS";1718964074;1718964122;"https://open.spotify.com/track/66RFGTOWuC0PKU4vwqCjPm";;;
"Foals";"Everything not saved will be lost, part 1";"In degrees";"2019";"WEA/ WARNER";1718964125;1718964421;"https://open.spotify.com/track/0K0zmlScXy0cSnSmnQQNiG";"https://music.apple.com/fr/album/in-degrees/1449154453?i=1449154457&uo=4";"https://www.deezer.com/track/643760802";
"Tony Allen & Africa 70";"Comet : Afro beats";"Afro-disco-beat";"1979";"COMET RECORDS";1718964419;1718965132;;;;
"Can";"Ege bamyasi";"Vitamin C";"1972";"SPOON";1718964851;1718965063;;"https://music.apple.com/fr/album/vitamin-c/711468600?i=711468775&uo=4";"https://www.deezer.com/track/70880322";
"Luis Conti";"Tele Music / Vol. 3";"Sierra sunrise";"1969";"BMG";1718965057;1718965219;;;;
"Katarzyna Sobczyk, Czerwono Czarni";"";"Trzynastego";"";"";1718965115;1718965291;;;;
"THE WHO";"";"Bucket ''T''";"";"";1718965289;1718965419;;;;
"Motorhead";"Under cöver";"Hellraiser";"2017";"SILVER LINING MUSIC";1718965431;1718965700;;;"https://www.deezer.com/track/10434034";
"Landscape";"With a little help from my friends";"Lost in translation";"2007";"SQUARE DOGS";1718965696;1718965857;"https://open.spotify.com/track/01suUuOSFd0llgPg8yGQYI";"https://music.apple.com/fr/album/lost-in-translation/250039821?i=250039826&uo=4";;
"HENRI DES";"N°5";"Ballon rond";"1984";"DISQUES MARY-JOSEE";1718965727;1718965828;"https://open.spotify.com/track/48i5cMPCm4jYz7MVRrnXi9";"https://music.apple.com/fr/album/ballon-rond/1340053340?i=1340053504&uo=4";;
"Roy Orbison";"The monument singles collection (1960 - 1964)";"In dreams";"1963";"SONY";1718965828;1718965994;"https://open.spotify.com/track/44pN9jfSqY3d3lrKuv3QeN";"https://music.apple.com/fr/album/in-dreams-1987-version/388154437?i=388156274&uo=4";"https://www.deezer.com/track/3568036";
"Scred Connexion";"Selexion 99/2000";"Partis de rien";"1999";"SCRED CONNEXION";1718965992;1718966233;;;"https://www.deezer.com/track/15566959";
"Massive Attack";"Blue lines";"Unfinished sympathy";"1991";"VIRGIN";1718966230;1718966532;;"https://music.apple.com/fr/album/unfinished-sympathy-2012-mix-master/715864097?i=715864380&uo=4";"https://www.deezer.com/track/3157624";
"Najat Al Saghira";"Best of Najat Al Saghira / Vol. 2";"Bahlam maak";"";"QAHIRAT2000";1718966522;1718966749;"https://open.spotify.com/track/2nCZs15rSShxeRBzBp6eLO";;"https://www.deezer.com/track/14006980";
"VANESSA PARADIS";"UNE NUIT A VERSAILLES";"JOE LE TAXI";"2010";"BARCLAY";1718966747;1718967039;"https://open.spotify.com/track/5UUPYwVoyHmd1N4mBWtp9r";"https://music.apple.com/fr/album/joe-le-taxi-live/1443096778?i=1443097013&uo=4";;
"Jorja Smith";"Be right back";"Bussdown (Feat. Shaybo)";"2021";"FAMM LIMITED";1718967037;1718967238;"https://open.spotify.com/track/2gP19KH3V5JlR5MycAIL3R";"https://music.apple.com/fr/album/bussdown-feat-shaybo/1562976097?i=1562976117&uo=4";;
"Chic";"Good times / Titres selectionnes par joey et norman jay";"Open up";"1980";"NUPHONIC";1718967238;1718967327;"https://open.spotify.com/track/3ESNz6kwXMCzCBG8F6uiwR";"https://music.apple.com/fr/album/open-up/120994736?i=120994550&uo=4";"https://www.deezer.com/track/720852";
"David Bowie";"Let's dance";"Let's dance";"1983";"EMI";1718967324;1718967777;;"https://music.apple.com/fr/album/lets-dance/1475002920?i=1475002923&uo=4";;
"Bof/ Grease";"BOF / Grease";"Grease : Alone at the drive-in-movie (instrumental)";"1978";"POLYDOR";1718968074;1718968217;;;;
"Blondie";"Chrysalis 25th anniversary - edited highlights";"Heart of glass";"1979";"CHRYSALIS";1718968217;1718968450;;"https://music.apple.com/fr/album/heart-of-glass/930908994?i=930909098&uo=4";"https://www.deezer.com/track/418231512";
"ETIENNE DAHO";"Bof / L'emploi du temps";"WEEK END A ROME";"2001";"VIRGIN";1718968440;1718968689;;;;
"Kate Bush";"Never for ever";"Babooshka";"1980";"EMI";1718968690;1718968890;"https://open.spotify.com/track/5ATOXWRIyeSkYGeRyqu25w";"https://music.apple.com/fr/album/babooshka/696884485?i=696885631&uo=4";"https://www.deezer.com/track/3127829";
"BISSO NA BISSO";"";"Bisso Na Bisso";"2000";"";1718968886;1718969120;;;"https://www.deezer.com/track/1961524507";
"Glenn Gould";"Les dernières sonates";"Sonate nº61 en re maj hob xvi : 51 - pour piano : I. andante";"1982";"CBS";1718969113;1718969318;;;;
"Claude Nougaro";"Toulouse";"Une petite fille";"1962";"PHILIPS";1718969317;1718969443;;"https://music.apple.com/fr/album/une-petite-fille/642909531?i=642909993&uo=4";;
"Wax Tailor";"Tales of the forgotten melodies";"Que Sera";"2005";"LAB ORATOIRE";1718969440;1718969605;"https://open.spotify.com/track/6TSDRzJGwbK9cajVbtqlPV";"https://music.apple.com/fr/album/que-sera/1529146742?i=1529146744&uo=4";;
"Kenny Burrell";"Monday stroll";"Over the rainbow";"1956";"Savoy Jazz";1718969604;1718969961;;;"https://www.deezer.com/track/584303352";
"JUDY GARLAND";"Respect: A century of women in music";"OVER THE RAINBOW";"1939";"RHINO RECORDS";1718969656;1718969820;"https://open.spotify.com/track/568SEFtDjKr7N2PytpA6D5";"https://music.apple.com/fr/album/over-the-rainbow/539489004?i=539489593&uo=4";;
"Kourosh Yaghmaei";"Back from the brink";"Gole yakh";"1973";"NOW AGAIN";1718969820;1718970124;;;;
"The Dave Brubeck Quartet";"The Backbeat of Rock and Roll";"Take five";"1959";"FAMOUS FLAMES RECORDS";1718970118;1718970290;"https://open.spotify.com/track/1YQWosTIljIvxAgHWTp7KP";"https://music.apple.com/fr/album/take-five/292800458?i=292800466&uo=4";"https://www.deezer.com/track/72203431";
"BILLY SWAN";"GOLDEN HITS 67-77";"I CAN HELP";"1974";"";1718970289;1718970525;"https://open.spotify.com/track/0DMmXYU7SgAGFJak6OSdXb";"https://music.apple.com/fr/album/i-can-help/162326534?i=162326628&uo=4";"https://www.deezer.com/track/15273580";
"Billy Joel";"Greatest Hits Volume I et II";"Just the way you are";"1977";"COLUMBIA";1718970518;1718970730;"https://open.spotify.com/track/49MHCPzvMLXhRjDantBMVH";"https://music.apple.com/fr/album/just-the-way-you-are/158617952?i=158618063&uo=4";;
"Bachar Mar Khalife";"Who's gonna get the ball from behind...";"Yas nas";"2013";"INFINE";1718970722;1718970995;;;;
"R.E.M";"Document";"So. central rain";"";"CAPITOL";1718970993;1718971310;;;"https://www.deezer.com/track/1080714522";
"James Brown";"Motherlode";"Funk bomb (instrumental)";"1967";"POLYDOR";1718971288;1718971383;;;;
"CRAZY FROG";"";"Axel F";"2005";"";1718971378;1718971547;"https://open.spotify.com/track/0Bo5fjMtTfCD8vHGebivqc";;;
"LES CALAMITES";"100 tubes 80 introuvables";"Vélomoteur";"";"EMI";1718971545;1718971747;"https://open.spotify.com/track/5dX6eOWhI2fY7KePPi4DdR";"https://music.apple.com/fr/album/v%C3%A9lomoteur/1619528754?i=1619529670&uo=4";"https://www.deezer.com/track/1722316587";
"MATHIAS DUPLESSY";"PRIVATE SONGS/PUBLIC TUNES";"TANT MIEUX";"2009";"";1718972049;1718972103;;;"https://www.deezer.com/track/825669";
"MATHIAS DUPLESSY";"My Mongolia";"TCHEREN DEYA";"2012";"ABSILONE DUPLESSY";1718972098;1718972291;"https://open.spotify.com/track/1xJvn7nufiBc8A5isZxwGs";"https://itunes.apple.com/fr/album/tcheren-deya-feat-guo-gan/1078723548?i=1078723970&uo=4";"https://www.deezer.com/track/63082433";"https://www.youtube.com/watch?v=Dxj95gxR8z4"
"JOE ARROYO Y LA VERDAD";"Latina / Le son latino";"La noche";"";"WAGRAM MUSIC (DISTRIBUTEUR)";1718972288;1718972552;;;;
"Lee Morgan";"Lee Morgan : Sidewinder";"The sidewinder";"1963";"BLUE NOTE";1718972550;1718973155;;"https://music.apple.com/fr/album/the-sidewinder/724729142?i=724729390&uo=4";"https://www.deezer.com/track/438527652";
"Gael Faye";"Balade Brésilienne";"Balade Brésilienne - Radio Edit (Feat. Flavia Coelho)";"2018";"BELIEVE";1718972790;1718972791;;;;
"50 CENT (Compositeur)";"";"Réussir ou mourir : Window shopper";"2005";"";1718973151;1718973342;;;;
"Henri Salvador (Compositeur)";"Ses plus grands succes";"Une chanson douce";"1991";"EMI";1718973359;1718973514;;;;
