"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Pascal Comelade";"Le non-sens du rythme";"Choni bi gutt";2022;"BECAUSE MUSIC";1710274959;1710275179;;"https://open.spotify.com/track/2ZxDkyurCwWMoQKNRD1JLx";"https://music.apple.com/fr/album/choni-bi-gutt/1631182993?i=1631183007&uo=4"
"Superorganism";"Trans Musicales de Rennes 2017";"Something for you";2017;"AUTO PRODUCTION";1710275178;1710275342;;;
"Genevieve Artadi";"Living like I know I'm gonna die";"Living like I know I'm gonna die";2020;;1710275341;1710275539;;"https://open.spotify.com/track/7i3d7SzTV9nfAgxyO6eDQ9";
"Yellowstraps";"Tentacles";"Flowin (feat. Sam Wise)";2023;"HALIBLUE RECORDS";1710275537;1710275728;;;
"Tony Allen";"FIlm of life";"Go back (feat. Damon Albarn)";2014;"HARMONIA MUNDI";1710275670;1710277533;;;"https://music.apple.com/fr/album/go-back-feat-damon-albarn/1443214546?i=1443214565&uo=4"
"Si Zentner";"The crime scene";"Walk on the wild side";1962;"CAPITOL";1710275727;1710275880;;;
"Peggy Lee";"Moon flowers / The collection 1952-54 All the singles & two complete albums";"Apples, peaches and cherries";1953;"REV-OLA";1710275878;1710276082;;;
"Bourvil";"Bien... si bien";"Salade de fruit";1959;"EMI";1710276082;1710276277;;;
"Benny Sings";"Passionfruit";"Passionfruit";2019;"STONES THROW";1710276277;1710276469;;;
"Taggy Matcher";"Disco Reggae / Vol. 2 (CD promo FIP)";"Watermelon Man (Taggy Matcher Disco Mix)";2014;"STIX RECORDS";1710276468;1710276753;;;
"Orange Blossom";"Khalik";"Khalik";2024;"WASHI WASHA";1710276745;1710276957;;"https://open.spotify.com/track/2yZG6Bm7XNy21LMUZDEdJ5";
"Hindi Zahra";"Until the next journey";"The man i love (Unplugged) (Radio edit)";2014;"PARLOPHONE LABEL GROUP";1710276954;1710277109;;;
