"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Michel Polnareff";"Les premières années";"Qui a tué grand'maman ?";1971;"UNIVERSAL";1708000043;1708000199;;;
"Tokyo Symphony Orchestra";"BOF/Le conte de la princesse Kaguya";"Bourgeonnements";2013;"PONY CANYON";1708000198;1708000336;;;
"Akiko Yano";"To ki me ki";"Yameru wakenya ikanaiwa";1978;"WEWANTSOUNDS";1708000334;1708000561;;;
"Makoto Kubota & The Sunset Gang";"Dixie fever";"Dixie fever";1977;"WEWANTSOUNDS";1708000559;1708000858;;;
"The Clash";"London calling";"Rudie can't fail";1979;"SONY";1708000855;1708001079;"https://music.apple.com/fr/album/rudie-cant-fail-remastered/688793621?i=688795835&uo=4";"https://open.spotify.com/track/4ZwPaJ0MtjFQRxJYRWUOjJ";
"The Diasonics";"Record Kicks rare box";"Andromeda";2023;"RECORD KICKS";1708001062;1708001261;;"https://open.spotify.com/track/31KyxVnloWOeVaJEBo3AyM";
"Altin Gun";"Tatli dile guler yuze";"Tatli dile güler yüze";2017;"BONGO JOE";1708001260;1708001422;;"https://open.spotify.com/track/33jm7G7RxLOsSm3Skqfx3Q";"https://www.deezer.com/track/469248472"
"Nahawa Doumbia";"Kanawa";"Kanawa";2021;"AWESOME TAPES FROM AFRICA";1708001422;1708001720;;"https://open.spotify.com/track/0bV3sbgaThb3H166XGDCkR";"https://www.deezer.com/track/1056528552"
"Julien Baer";"FIP sacré français !";"Nouvelle adresse";2005;"WAGRAM MUSIC";1708001682;1708001885;"https://music.apple.com/fr/album/nouvelle-adresse/1443390590?i=1443390601&uo=4";;
"Lonnie Liston Smith";"Sampled";"Expansions";1975;;1708001883;1708002197;;"https://open.spotify.com/track/1DoWUjcc5sqpRioFPioogU";
"Kamaal Williams";"Wu hen";"1989 (feat. Miguel Atwoood-Ferguson)";2020;"BLACK FOCUS";1708002193;1708002395;;;
"Peggy Lee";"Best of the Peggy Lee singles collection";"Senza fine";1964;"CAPITOL";1708002392;1708002540;"https://music.apple.com/fr/album/senza-fine/716308588?i=716308910&uo=4";"https://open.spotify.com/track/0vrdMgCne07v2jabsg3mOE";
"Sarah Fox";"Luigi Boccherini et emanuele d'astorga : Stabat mater";"Stabat Mater op 61 : Fac ut portem christi mertem  (Air de soprano)";;"HYPERION";1708002533;1708002684;;;
"Inger Nordvik";"Hibernation";"Echo";2023;"ASTA RECORDS";1708002683;1708002912;"https://music.apple.com/fr/album/echo/1660980818?i=1660981818&uo=4";"https://open.spotify.com/track/1GqaBeXsPr6aVRUcx8Uq2Z";"https://www.deezer.com/track/2079849387"
"Sinead O Connor";"The lion and the cobra";"I want your (Hands on me)";1987;"CHRYSALI";1708002909;1708003183;;;
"Jan Hammer";"BOF TV / Miami vice 2";"New York theme (instrumental)";1986;"MCA RECORDS";1708003181;1708003358;;;
"Tom Petty";"Full Moon Fever";"Love is a long road";1989;"MCA RECORDS";1708003355;1708003600;;"https://open.spotify.com/track/4PJEK76V3A1S0XzZJuTWh7";
"Hank Williams Jr";"Rich white honky blues";"Jesus will you come by here";2022;"EASY EYE SOUND";1708003597;1708003765;;;
"John Denver";"John denver's greatest hits";"Take me home, country roads";1973;"RCA";1708003762;1708003949;;;"https://www.deezer.com/track/769749602"
"Aliocha Schneider";"Aliocha Schneider";"Hey Mama";2023;"LOCAL";1708003947;1708004111;"https://music.apple.com/fr/album/hey-mama/1691871249?i=1691871360&uo=4";"https://open.spotify.com/track/1xr112Xykw2Dn9ozlq02mw";
"Esperanto";"Esperanto";"Vereda tropical";1980;"FAVORITE RECORDINGS";1708004110;1708004282;;;"https://www.deezer.com/track/1299296472"
"Ullanda Mac Cullough";"Bad company (remastered Edit)";"Bad company (remastered Edit)";1981;"ATLANTIC";1708004281;1708004627;;;
"Sonya Spence";"In the Dark / Sings Love";"Talk love";1980;"SANCTUARY RECORDS";1708004626;1708004883;;;
"Samia Farah";"The many moods of ...";"Gratuit";2009;"SAM PRODUCTION";1708004880;1708005095;;;
"Tommy Guerrero";"Soul food taqueria";"Terra unfirma";2001;"MO WAX";1708005094;1708005336;;;
"Blind Melon";"Soak the sin";"No rain";1992;"CAPITOL";1708005183;1708005397;;"https://open.spotify.com/track/6txWz9UapYHVxEd7dDIHXT";"https://www.deezer.com/track/3359652"
"The Manhattan Transfer";"Anthologie /  Down in Birdland";"Java jive";1975;"WEA";1708005397;1708005562;;"https://open.spotify.com/track/2eIsJ2wadb9y03M0lQsvft";"https://www.deezer.com/track/1444376352"
"Laurent Bardainne & Tigre D'Eau Douce";"Hymne au soleil";"Jou en nou rivé (feat. Celia Wa)";2022;"HEAVENLY SWEETNESS";1708005561;1708005787;;;
"Forever Pavot";"BOF / Simple comme Sylvain";"Simple comme Sylvain : Les amants";2023;"BMM";1708005785;1708005947;;;
"Linda Perhacs";"Parallelograms";"Chimacum rain";1970;;1708005943;1708006143;;"https://open.spotify.com/track/0PSxgms5q4pEtRGXRw2oWK";"https://www.deezer.com/track/84234293"
"Etta James";"All the way";"Purple Rain";2006;"RCA";1708006141;1708006487;;"https://open.spotify.com/track/6If8Jwm6YvRlg2RFSviUKW";"https://www.deezer.com/track/562176"
"Bibio";"Sleep on the wing";"A couple swim";2020;"WARP RECORDS";1708006480;1708006776;;"https://open.spotify.com/track/30Vl1lnaQNex2RdNYvrTkK";"https://www.deezer.com/track/988611392"
"Isaac Delusion";"Lost and found";"Que pour toi";2024;"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";1708006699;1708006930;"https://music.apple.com/fr/album/que-pour-toi/1716058914?i=1716060448&uo=4";"https://open.spotify.com/track/1R3swm76r5KnXOL4ceqYkT";
"Solange";"When I Get Home";"Stay flo";2019;"COLUMBIA RECORDS";1708006923;1708007099;;"https://open.spotify.com/track/6GCIYIWUBSLontW6divqsw";"https://www.deezer.com/track/641647312"
