"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Céu";"Novela";"Cremosa";"2024";"URBAN JUNGLE / ONERPM";1742373024;1742373182;"https://music.apple.com/fr/album/cremosa/1740125744?i=1740125957&uo=4";"https://www.deezer.com/track/2674120412";"https://open.spotify.com/track/0Zq70S17PSVxiRewtTtzy2"
"Horace Andy";"Midnight rocker";"Mr Bassie";"2022";"ON-U SOUND";1742373181;1742373420;"https://music.apple.com/fr/album/mr-bassie/1604584398?i=1604584410&uo=4";"https://www.deezer.com/track/2253824337";"https://open.spotify.com/track/56a7nOtlPH69eIYEVHtM5u"
"Of Montreal";"The bedside drama : A petite tragedy";"Panda bear";"";"POLYVINYL RECORDS";1742373419;1742373704;"https://music.apple.com/fr/album/panda-bear/1651304305?i=1651304317&uo=4";"https://www.deezer.com/track/1982240637";"https://open.spotify.com/track/38YRcBy9BrrHQYr0qwoQM1"
"Project Gemini";"The children of Scorpio";"The ritual '70";"2022";"MR BONGO";1742373701;1742373959;;"https://www.deezer.com/track/1618159032";"https://open.spotify.com/track/60WqfHQZRzwcCnc6Tp8u72"
"Warhaus";"Karaoke moon";"I want more";"2024";"PIAS";1742373960;1742374146;;"https://www.deezer.com/track/2954185491";"https://open.spotify.com/track/1fjB51r9GbTQDr35eCPrK9"
"Jungle Brothers";"Straight out the jungle";"Straight out the jungle";"1988";"WARLOCK RECORDS";1742374144;1742374383;"https://music.apple.com/fr/album/straight-out-the-jungle/3242008?i=3241982&uo=4";"https://www.deezer.com/track/95989006";"https://open.spotify.com/track/6bVUwujYeG4u9IBm4Vugfs"
"Jungle";"Loving in stereo";"Talk about it";"2021";"CAIOLA RECORDS";1742374381;1742374585;"https://music.apple.com/fr/album/talk-about-it/1555318008?i=1555318372&uo=4";"https://www.deezer.com/track/1875512487";"https://open.spotify.com/track/4MLcutHNxBO4PuO2Rgw12Y"
"Hermanos Gutierrez";"Sonido Cosmico";"Sonido cosmico";"2024";"EASY EYE SOUND";1742374582;1742374803;"https://music.apple.com/fr/album/sonido-c%C3%B3smico/1728320036?i=1728320496&uo=4";"https://www.deezer.com/track/2653604682";"https://open.spotify.com/track/6O4m4kgRStnagI4l0f7cOx"
"Papooz";"Resonate";"Minor miracles";"2024";"HALF AWAKE";1742374798;1742374990;"https://music.apple.com/fr/album/minor-miracles/1712863028?i=1712863417&uo=4";"https://www.deezer.com/track/2721284822";"https://open.spotify.com/track/5zg4vtr3r90Y6CFZPGZUTD"
"Caroline Savoie";"Rom-Com";"Il faut qu'on se parle";"2025";"SIMONE RECORDS";1742374989;1742375182;;;
"Cat Power";"Wanderer";"You get";"2018";"DOMINO RECORDING COMPANY";1742375180;1742375402;"https://music.apple.com/fr/album/you-get/1400247975?i=1400248099&uo=4";"https://www.deezer.com/track/524126712";"https://open.spotify.com/track/2qcmVgViaVUc4mzgeBJPHg"
"Felbm";"Tape 3 / Tape 4";"Colorists";"2020";"SOUNDWAY";1742375400;1742375601;"https://music.apple.com/fr/album/colorists/1611774424?i=1611774625&uo=4";"https://www.deezer.com/track/1666239772";"https://open.spotify.com/track/7KOrRbnAni8jnQP8j0yMQK"
"Vulfpeck";"Schvitz";"Miracle";"2022";"VULF RECORDS";1742375598;1742375803;;"https://www.deezer.com/track/2055583867";"https://open.spotify.com/track/4ZRyO29QQaJ7imFb1w2Mpr"
"Yewhe Yeton";"Loko";"Gbemin";"2025";"AUTOPRODUCTION";1742375809;1742376010;;;
"Ha The Unclear";"A Kingdom in a cul-de-sac";"Wallace line";"2024";"THINK ZIK";1742376008;1742376197;"https://music.apple.com/fr/album/wallace-line/1738561878?i=1738562443&uo=4";"https://www.deezer.com/track/2747823341";"https://open.spotify.com/track/0GMmTtNYYoCXr5gPmGgLhM"
"Scary Goldings";"Scary Goldings IV";"The shiner (feat. John Scofield)";"2021";"POCKETS";1742376193;1742376416;"https://music.apple.com/fr/album/the-shiner-feat-john-scofield/1592604907?i=1592604916&uo=4";;
