"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Chrystel Wautier";"Before a song";"Hard time killin' floor blues";2015;"BONSAI MUSIC";1704719481;1704719784;;;;
"Mark Whitfield";"True blue";"Save your love for me";1994;"VERVE";1704719781;1704720070;;;"https://open.spotify.com/track/3sBTE3AftPutvoC7CPR8wE";
"Wynton Marsalis";"He and she";"First time";2009;"BLUE NOTE";1704720067;1704720352;"https://music.apple.com/fr/album/first-time/1700345920?i=1700347386&uo=4";;;
"Billie Holiday";"Le blues de Billie Holiday 1946 - 1959";"Come rain or come shine";1955;"VERVE";1704720351;1704720609;"https://music.apple.com/fr/album/come-rain-or-come-shine/1469577795?i=1469578191&uo=4";;"https://open.spotify.com/track/20lPX0g0lacr7c72M8A0OR";
"Phil Woods";"American songbook 2";"Suddenly it's spring";2007;"KIND OB BLUE";1704720609;1704721079;"https://music.apple.com/fr/album/suddenly-its-spring/809986516?i=809986551&uo=4";;"https://open.spotify.com/track/7DQHxftBYa5TJxg0lZ2SbA";
"Buena Vista Social Club";"Buena Vista social club";"Buena vista social club";1997;"N DAY";1704721078;1704721367;"https://music.apple.com/fr/album/buena-vista-social-club/1716598034?i=1716598862&uo=4";;"https://open.spotify.com/track/6hNk3VFfcGFUqJYUus7H5V";
"Madeleine Peyroux";"Secular hymns";"If The Sea Was Whiskey";2016;"IMPULSE / UNIVERSAL";1704721366;1704721551;"https://music.apple.com/fr/album/if-the-sea-was-whiskey/1440870200?i=1440870595&uo=4";;"https://open.spotify.com/track/3rDGqnRdUss7UhZJy87qnk";
"Duke Ellington";"Ko-ko";"Never no lament";1940;"DREYFUSJAZZ";1704721547;1704721744;;;"https://open.spotify.com/track/36FPWhcK2FgNxNmYp3W3se";
"Brad Mehldau Trio";"Ode";"Twiggy";2012;"NONESUCH";1704721743;1704722075;"https://music.apple.com/fr/album/twiggy/507857187?i=507857210&uo=4";"https://www.deezer.com/track/16935742";"https://open.spotify.com/track/2igwkW7rZpOj6T0CLM0kWu";
"Mark Murphy";"Beauty and the beast";"The lady who sang the blues";1987;"Muse Records";1704722072;1704722399;;;;
"Nicola Sabato";"California Hang";"L.A. Bounce";2023;"Sotibat";1704722399;1704722627;;;"https://open.spotify.com/track/79zUKFLHL2t7DTWXYm9Cqr";
"Peggy Lee";"Four Classic Albums";"Los Angeles Blues";1961;"Avid Jazz";1704722625;1704722780;;;;
