"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Allan Harris";"The genius of Eddie Jefferson";"Jeannine";2018;"RESILIENCE MUSIC";1711359937;1711360192;"https://open.spotify.com/track/71H93UlRLN0xERsXEigBYM";"https://music.apple.com/fr/album/jeannine/1341191031?i=1341191747&uo=4";"https://www.deezer.com/track/454831492"
"Bobby Timmons";"This here is Bobby Timmons";"This here";1960;"RIVERSIDE";1711360188;1711360398;"https://open.spotify.com/track/0f8SuVenkSwghjIu5E0aDb";;
"Michael Wollny Trio";"Nachtfahrten";"Ellen";2015;"ACT MUSIC";1711360396;1711360612;;;
"Novi Singers";"Compil./Jazz/Go right/Pologne 1963-1975";"Five four three";1974;"JAZZANOVA COMPOST RECORDS";1711360608;1711360842;;;
"Omar Sosa";"An East African Journey";"Elrababa (feat. Dafaalla Elhag Ali)";2021;"Ota Records / MDC / PIAS";1711360842;1711361090;;"https://music.apple.com/fr/album/elrababa-feat-dafaalla-elhag-ali/1551661236?i=1551661439&uo=4";
"Freddie Redd Quartet";"The music from """"The connection""""";"O.D.";1960;"BLUE NOTE";1711361087;1711361367;;"https://music.apple.com/fr/album/o-d/1618715878?i=1618715885&uo=4";"https://www.deezer.com/track/12961006"
"Karin Krog";"The many faces of Karin Krog / CD 1 : The art of duo";"Where flamingos fly";2002;"Odin";1711361366;1711361645;"https://open.spotify.com/track/1Sxm7j3mLLW36Ges3uuVrz";;"https://www.deezer.com/track/588201452"
"Red Rodney";"Yard's pad";"Red Rod";1976;"SONET";1711361644;1711361981;;;
"Matt Carmichael";"Where Will the River Flow";"Firth";2021;"Porthole Music";1711361980;1711362365;"https://open.spotify.com/track/2cLN41iBHl3zy8VroJ5zRv";"https://music.apple.com/fr/album/firth/1549218225?i=1549218233&uo=4";"https://www.deezer.com/track/1201053462"
"Phil Harris Coconut Grove Orchestra";"Songs of the depression";"What have we got to lose ?";1933;;1711362361;1711362575;;;
"Simon Chivallon";"Light Blue";"Something";2021;"JAZZ & PEOPLE";1711362575;1711362801;"https://open.spotify.com/track/5y76dFFJDhN1GWLDHStsib";;"https://www.deezer.com/track/1252205472"
"Woody Shaw Quintet";"Lotus flower";"Game";1990;"ENJA";1711362796;1711363193;;;
"Laura Littardi";"Pop In Jazz";"Old man";2016;"Wagram Music";1711363190;1711363472;"https://open.spotify.com/track/6llZJGNek6JYptzTZDt0i5";;
"Paul Desmond (Saxophone alto)";"Easy Living";"Bewitched";1966;"RCA";1711363469;1711363852;;;
"Pierre Marcus";"Following the Right Way";"Mister Chassagnite (feat. Renaud Gensane)";2020;"Jazz Family";1711363850;1711364155;;;
"Marvin Gaye";"A Tribute To The Great Nat King Cole";"Calypso blues";1965;"TAMLA MOTOWN";1711364152;1711364397;"https://open.spotify.com/track/532NRPlURL6GUcr7LgZ90L";"https://music.apple.com/fr/album/calypso-blues/1443144201?i=1443144894&uo=4";"https://www.deezer.com/track/2276822"
"Remi Panossian Trio (rp3)";"In odd we trust";"Dr. Vincent";2020;"ADD FICTION / L'AUTRE DISTRIBUTION";1711364398;1711364706;;;
"Elek Bacsik";"Blue rondo a la turk";"Willow weep for me";1962;"FONTANA";1711364703;1711364963;;;"https://www.deezer.com/track/869272872"
"Andrea Motis";"Emotional dance";"Baby girl";2017;"IMPULSE";1711364960;1711365219;;"https://music.apple.com/fr/album/baby-girl/1440886744?i=1440886970&uo=4";"https://www.deezer.com/track/140343521"
"Didier Lockwood";"New York rendez-vous";"Waltzy";1995;"JMS/SONY";1711365218;1711365661;"https://open.spotify.com/track/2wzkfd5BLktocCuw5jWmhA";"https://music.apple.com/fr/album/waltzy/1487667048?i=1487667062&uo=4";
"Mathias Eick";"Ravensburg";"Parents";2018;;1711365659;1711365968;"https://open.spotify.com/track/4Sy1v8ReYaB4LQ6v0UZM9N";"https://music.apple.com/fr/album/parents/1440901154?i=1440901178&uo=4";
"King Pleasure";"The beat generation";"Parker's mood";1954;"PRESTIGE";1711365967;1711366144;;"https://music.apple.com/fr/album/parkers-mood-remastered/1488669939?i=1488669950&uo=4";"https://www.deezer.com/track/514207252"
