"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Bob Dorough";"Devil may care";"Yardbird suite";1956;"AFFINITY";1705555602;1705555896;"https://music.apple.com/fr/album/yardbird-suite/257790166?i=257792176&uo=4";;
"The Bad Plus";"Made possible";"Seven minute mind";2012;"EMARCY";1705555895;1705556226;"https://music.apple.com/fr/album/seven-minute-mind/1442620773?i=1442620778&uo=4";"https://open.spotify.com/track/2yU6hsyof053zHxX1QdC0a";"https://www.deezer.com/track/61144193"
"Art Farmer";"Crawl space";"Chanson";1977;"CTI RECORDS";1705556223;1705556740;"https://music.apple.com/fr/album/chanson/1182632155?i=1182632388&uo=4";"https://open.spotify.com/track/6zSHjRauxTzsyqvwZdXaSP";
"Holly Cole";"Temptation";"Train song";1995;"EMI";1705556737;1705556937;"https://music.apple.com/fr/album/train-song/724717329?i=724717469&uo=4";"https://open.spotify.com/track/62dpuFjYSBBshX8C65oOm3";"https://www.deezer.com/track/3489000"
"Duke Pearson";"Profile";"Black coffee";1959;"BLUE NOTE";1705556933;1705557196;"https://music.apple.com/fr/album/black-coffee/1371789434?i=1371789698&uo=4";;
"Charles Lloyd Quartet";"Mirror";"La llorona";2010;"ECM";1705557190;1705557521;"https://music.apple.com/fr/album/la-llorona/1443154748?i=1443154972&uo=4";"https://open.spotify.com/track/2j2kxHod8i23qTqlQc7vUF";
"King Pleasure";"Club Beat : Stirring up some jazz (The original sound of UK Club Land)";"I'm in the mood for love";1952;"JASMINE RECORDS";1705557517;1705557706;;;"https://www.deezer.com/track/3199769"
"Julien Daian Quintet";"Cut-up";"June dance (feat. Sylvain Gontard)";2021;"FRENCH PARADOX";1705557706;1705557938;"https://music.apple.com/fr/album/june-dance-feat-sylvain-gontard/1563803461?i=1563803912&uo=4";;
"Gene Ammons";"Boss tenor";"Canadian sunset";1960;"PRESTIGE";1705557934;1705558256;"https://music.apple.com/fr/album/canadian-sunset/829189954?i=829190019&uo=4";;
"Karrin Allyson";"In blue";"Bye bye country boy";2002;"CONCORD";1705558254;1705558497;"https://music.apple.com/fr/album/bye-bye-country-boy/1443271504?i=1443271784&uo=4";"https://open.spotify.com/track/0nZtOLfyXs9danV3HLbUT2";
